endpoint, channel, Gain,    SpeAmpl
106,      32,      3482.9,  20
106,      33,      1893.97, 8
106,      30,      2148.87, 10
106,      31,      4332.16, 15
106,      34,      2063.53, 10
106,      35,      2000,    12
106,      36,      2257.92, 12
106,      37,      2530.51, 12
106,      0,       5225.09, 18
106,      2,       5185.5,  20
106,      1,       2426.86, 12.5
106,      3,       2685.4,  12
106,      5,       3831.38, 20
106,      7,       3567.7,  18
106,      4,       1526.98, 10
106,      6,       1258.39, 8
107,      47,      2000,    10
107,      45,      2000,    10
107,      40,      2000,    10
107,      42,      2000,    10
107,      46,      3147.79, 16
107,      44,      3278.53, 16
107,      43,      1380.77, 16
107,      41,      2205.66, 16
107,      7,       4364.88, 10
107,      0,       4221.51, 10
107,      27,      3058.11, 10
107,      20,      3009.3,  10
107,      37,      2634.38, 10
107,      30,      2557.6,  10
107,      17,      3771.75, 10
107,      10,      3723.89, 10
