Run,Part,C1,C2,C3,C4,C5,C6,C7,C8,SUM
39007,total,9129.10,8609.07,46698.87,31781.69,12547.40,7335.78,7333.19,15091.77,132748.14
39007,HL,11495.37,7704.99,50079.60,45872.56,9912.32,3061.12,4959.29,11694.52,142964.46
39007,HLx,9067.54,9398.94,48198.52,29603.89,14209.90,9268.25,8441.19,16923.39,140505.22
39007,HxLx,6874.62,7057.22,38577.84,24177.78,10182.01,6047.44,6377.58,12957.84,100772.27
