batch,APA,endpoint,channel,channel_iterator,PDE,gain,snr,OV#,HPK_OV_V,FBK_OV_V
1,2,109,37,8,0.45,3476.4425351083783,5.182755663326367,2,3.5,4.5
1,2,109,35,9,0.45,3558.1545464790224,4.920397370910603,2,3.5,4.5
1,2,109,32,10,0.45,3354.281288584597,4.578168870276914,2,3.5,4.5
1,2,109,30,11,0.45,3361.6305591998284,5.4178830672873985,2,3.5,4.5
1,2,109,31,12,0.45,3463.0910727078517,4.762572270128371,2,3.5,4.5
1,2,109,33,13,0.45,3324.5969859723855,2.954897736156498,2,3.5,4.5
1,2,109,34,14,0.45,3525.988074985064,5.576802397431051,2,3.5,4.5
1,2,109,36,15,0.45,2815.5366247483694,4.18415562554187,2,3.5,4.5
1,2,109,7,16,0.45,3500.7444160716127,3.889117983249371,2,3.5,4.5
1,2,109,5,17,0.45,3430.8350774512155,3.9473156394930906,2,3.5,4.5
1,2,109,2,18,0.45,3519.8867359715578,4.140990088190874,2,3.5,4.5
1,2,109,0,19,0.45,3533.0806886951073,4.208490023254506,2,3.5,4.5
1,2,109,1,20,0.45,3738.876501506903,4.33889264856272,2,3.5,4.5
1,2,109,3,21,0.45,3021.3901816741777,4.168700630209501,2,3.5,4.5
1,2,109,4,22,0.45,4059.776656209658,4.5785007915437745,2,3.5,4.5
1,2,109,6,23,0.45,3895.784392916335,5.2005954061875865,2,3.5,4.5
1,2,109,15,25,0.45,3399.536819448036,3.533144819861876,2,3.5,4.5
1,2,109,12,26,0.45,3403.645230978004,3.9865102586313776,2,3.5,4.5
1,2,109,47,32,0.45,3690.982601034924,5.580296068384627,2,3.5,4.5
1,2,109,45,33,0.45,3660.8692720129634,5.073858254043635,2,3.5,4.5
1,2,109,42,34,0.45,3590.624792706951,6.098040845069985,2,3.5,4.5
1,2,109,40,35,0.45,3540.127457760533,5.322573763110973,2,3.5,4.5
1,2,109,41,36,0.45,3546.2931071116254,5.039776662211358,2,3.5,4.5
1,2,109,43,37,0.45,3624.711663765166,6.1658293290329445,2,3.5,4.5
1,2,109,44,38,0.45,3481.10730005468,5.478905406410046,2,3.5,4.5
1,2,109,46,39,0.45,3541.028506082131,4.41365247495074,2,3.5,4.5
1,2,109,27,0,0.5,4081.13265633072,5.511645506203307,3,4.0,7.0
1,2,109,25,1,0.5,4178.484747587706,5.720004427253608,3,4.0,7.0
1,2,109,22,2,0.5,3941.75415821391,5.4373087650136105,3,4.0,7.0
1,2,109,20,3,0.5,3928.802380650133,5.820811604825639,3,4.0,7.0
1,2,109,21,4,0.5,4146.834956309807,6.828328954431512,3,4.0,7.0
1,2,109,23,5,0.5,4282.574047484522,6.82032141394775,3,4.0,7.0
1,2,109,24,6,0.5,4143.679884712638,6.31043973556162,3,4.0,7.0
1,2,109,26,7,0.5,4168.976640387786,6.743093383050906,3,4.0,7.0
1,2,109,37,8,0.5,4047.174551441797,5.433041214078296,3,4.0,7.0
1,2,109,35,9,0.5,4185.002269082431,5.809191757291512,3,4.0,7.0
1,2,109,32,10,0.5,4008.3317346699623,5.591977927065772,3,4.0,7.0
1,2,109,30,11,0.5,4029.991468158,5.540629158512444,3,4.0,7.0
1,2,109,31,12,0.5,4311.24043768154,5.747948281549478,3,4.0,7.0
1,2,109,33,13,0.5,3587.556679133893,3.800899296129044,3,4.0,7.0
1,2,109,34,14,0.5,4057.5790088750327,5.762690964293408,3,4.0,7.0
1,2,109,36,15,0.5,3651.1264457897087,4.9164062162612705,3,4.0,7.0
1,2,109,7,16,0.5,5646.929966709383,6.234787344373712,3,4.0,7.0
1,2,109,5,17,0.5,5382.685560161014,6.105085801687908,3,4.0,7.0
1,2,109,2,18,0.5,6116.00592107222,7.278636179853199,3,4.0,7.0
1,2,109,0,19,0.5,5555.523323831706,5.714440007804376,3,4.0,7.0
1,2,109,1,20,0.5,5550.819056106873,5.6206039529705265,3,4.0,7.0
1,2,109,3,21,0.5,5017.168128097014,5.900118576550441,3,4.0,7.0
1,2,109,4,22,0.5,6105.064911255865,6.153966589543413,3,4.0,7.0
1,2,109,6,23,0.5,6033.286158394879,6.722404185959314,3,4.0,7.0
1,2,109,12,26,0.5,5162.676425410353,4.6891400944190345,3,4.0,7.0
1,2,109,47,32,0.5,4489.792723061805,6.31766854385113,3,4.0,7.0
1,2,109,45,33,0.5,4271.565065536865,5.823624415325796,3,4.0,7.0
1,2,109,42,34,0.5,4235.917918483287,5.988974283125045,3,4.0,7.0
1,2,109,40,35,0.5,4140.087765177567,6.032768183023476,3,4.0,7.0
1,2,109,41,36,0.5,4202.157432053137,5.736626727216028,3,4.0,7.0
1,2,109,43,37,0.5,4336.489669992865,7.0472199216234745,3,4.0,7.0
1,2,109,44,38,0.5,4066.764173554411,6.286532291051083,3,4.0,7.0
1,2,109,46,39,0.5,4283.024112546813,4.6783497694981255,3,4.0,7.0
1,3,111,3,1,0.4,3084.627887776961,3.3316712272162516,1,2.0,3.5
1,3,111,4,2,0.4,3156.295150268457,3.3448347044055646,1,2.0,3.5
1,3,111,6,3,0.4,3143.898809214064,3.354046755033711,1,2.0,3.5
1,3,111,36,4,0.4,2910.7848535634707,4.0995513566036825,1,2.0,3.5
1,3,111,34,5,0.4,2702.935940600059,4.492113816561121,1,2.0,3.5
1,3,111,33,6,0.4,2740.637265793154,3.943913304490337,1,2.0,3.5
1,3,111,0,8,0.4,2774.635404258958,4.098353793244184,1,2.0,3.5
1,3,111,2,9,0.4,2819.9079277883734,4.317910122732219,1,2.0,3.5
1,3,111,5,10,0.4,2921.3746574554066,4.289963216804995,1,2.0,3.5
1,3,111,7,11,0.4,2878.72248264397,4.318742103802956,1,2.0,3.5
1,3,111,37,12,0.4,2679.6707843014656,4.316437400338266,1,2.0,3.5
1,3,111,35,13,0.4,2715.542575944772,4.003060744597116,1,2.0,3.5
1,3,111,32,14,0.4,2727.3771891601077,4.160376260556051,1,2.0,3.5
1,3,111,30,15,0.4,2798.0139135763866,4.0620073846870035,1,2.0,3.5
1,3,111,41,16,0.4,2742.9922126447523,4.737532602009596,1,2.0,3.5
1,3,111,43,17,0.4,2763.0546105036474,4.866246680188289,1,2.0,3.5
1,3,111,44,18,0.4,2736.977796529873,4.909259641924551,1,2.0,3.5
1,3,111,46,19,0.4,2837.261655786944,4.697225432700072,1,2.0,3.5
1,3,111,16,20,0.4,3182.9632815166915,4.657091753493306,1,2.0,3.5
1,3,111,14,21,0.4,2949.189417606774,4.486628410639319,1,2.0,3.5
1,3,111,13,22,0.4,3212.0991844011637,4.629373550954973,1,2.0,3.5
1,3,111,11,23,0.4,2999.5292686533376,4.3119745072248366,1,2.0,3.5
1,3,111,10,24,0.4,2802.1681548115216,4.127777191608156,1,2.0,3.5
1,3,111,12,25,0.4,2833.655241489097,4.399367090375934,1,2.0,3.5
1,3,111,15,26,0.4,2790.255995064181,3.1101825998882084,1,2.0,3.5
1,3,111,17,27,0.4,2759.0455598277445,3.839390199922988,1,2.0,3.5
1,3,111,26,28,0.4,3075.6561489914775,4.285930833833499,1,2.0,3.5
1,3,111,24,29,0.4,3218.8497058797225,4.412664507963024,1,2.0,3.5
1,3,111,23,30,0.4,3052.769166901638,4.346207898712268,1,2.0,3.5
1,3,111,21,31,0.4,2718.9514792711047,4.058607426467711,1,2.0,3.5
1,3,111,40,32,0.4,2825.052670563241,4.950055332351238,1,2.0,3.5
1,3,111,42,33,0.4,2736.4750134734095,4.719396684516857,1,2.0,3.5
1,3,111,45,34,0.4,2783.9534397365933,5.100523125624436,1,2.0,3.5
1,3,111,47,35,0.4,2893.690576433201,4.756258780777055,1,2.0,3.5
1,3,111,27,36,0.4,3164.491951392501,4.293761830657539,1,2.0,3.5
1,3,111,25,37,0.4,2976.379957730964,4.099717690633554,1,2.0,3.5
1,3,111,22,38,0.4,2934.400487543406,4.308827986908142,1,2.0,3.5
1,3,111,20,39,0.4,3049.909069987117,4.239105426401426,1,2.0,3.5
1,3,111,1,0,0.45,3877.9337704578593,3.7012973233589506,2,3.5,4.5
1,3,111,3,1,0.45,3868.069515013047,3.5634905434960444,2,3.5,4.5
1,3,111,4,2,0.45,3881.9383210576448,3.6763326056404177,2,3.5,4.5
1,3,111,6,3,0.45,3890.3788448888113,3.6195612773292942,2,3.5,4.5
1,3,111,36,4,0.45,3577.937123579167,4.568495110792231,2,3.5,4.5
1,3,111,34,5,0.45,3251.008899901031,5.001399671872666,2,3.5,4.5
1,3,111,33,6,0.45,3424.913749260421,4.659059773601757,2,3.5,4.5
1,3,111,0,8,0.45,3449.1109691279253,4.978027336973838,2,3.5,4.5
1,3,111,2,9,0.45,3565.34606177107,5.419913305322203,2,3.5,4.5
1,3,111,5,10,0.45,3660.534372919056,5.422816170030429,2,3.5,4.5
1,3,111,7,11,0.45,3574.01304913894,5.120048166708669,2,3.5,4.5
1,3,111,37,12,0.45,3262.7447195068085,4.7617701182067265,2,3.5,4.5
1,3,111,35,13,0.45,3318.290210171527,4.789709502743369,2,3.5,4.5
1,3,111,32,14,0.45,3244.261241984066,5.023940649819729,2,3.5,4.5
1,3,111,30,15,0.45,3232.150164736072,4.713629825905186,2,3.5,4.5
1,3,111,41,16,0.45,3387.694474263123,5.404317988060513,2,3.5,4.5
1,3,111,43,17,0.45,3395.870382269494,6.11927017871814,2,3.5,4.5
1,3,111,44,18,0.45,3351.187673242205,5.719885464013569,2,3.5,4.5
1,3,111,46,19,0.45,3463.17393454172,5.511183867191745,2,3.5,4.5
1,3,111,16,20,0.45,4027.4317225671775,5.6821052936304275,2,3.5,4.5
1,3,111,14,21,0.45,3766.7171412314,5.135264073138398,2,3.5,4.5
1,3,111,13,22,0.45,4089.076818843974,5.925572786450722,2,3.5,4.5
1,3,111,11,23,0.45,3781.9934324775486,5.3440202380499935,2,3.5,4.5
1,3,111,10,24,0.45,3550.713685942675,5.008863918630769,2,3.5,4.5
1,3,111,12,25,0.45,3522.5731524559883,4.773354846714732,2,3.5,4.5
1,3,111,15,26,0.45,3402.3233047942053,3.2637649260657473,2,3.5,4.5
1,3,111,17,27,0.45,3460.460552508338,4.489990843723735,2,3.5,4.5
1,3,111,26,28,0.45,3834.7341935027175,5.151472217459957,2,3.5,4.5
1,3,111,24,29,0.45,3935.8747802365174,5.493244637407943,2,3.5,4.5
1,3,111,23,30,0.45,3922.133850006336,5.611216754720203,2,3.5,4.5
1,3,111,21,31,0.45,3519.0964002266305,4.954236041726854,2,3.5,4.5
1,3,111,40,32,0.45,3448.3425492085566,6.025466599089724,2,3.5,4.5
1,3,111,42,33,0.45,3314.6182130787415,5.882414020663342,2,3.5,4.5
1,3,111,45,34,0.45,3427.528934452331,5.946047590081372,2,3.5,4.5
1,3,111,47,35,0.45,3586.444694134628,5.494933996439568,2,3.5,4.5
1,3,111,27,36,0.45,3742.282934820896,5.616536473906527,2,3.5,4.5
1,3,111,25,37,0.45,3707.170315544769,5.597636904212734,2,3.5,4.5
1,3,111,22,38,0.45,3666.697633254189,5.065123581215584,2,3.5,4.5
1,3,111,20,39,0.45,3843.9596572548626,5.650286134219448,2,3.5,4.5
1,3,111,1,0,0.5,6186.317757003101,3.283462035564882,3,4.0,7.0
1,3,111,3,1,0.5,5971.496258647381,4.168823618233816,3,4.0,7.0
1,3,111,4,2,0.5,5997.561465495359,4.566945028511272,3,4.0,7.0
1,3,111,6,3,0.5,6165.824673140609,3.8562420083326145,3,4.0,7.0
1,3,111,36,4,0.5,4104.841631483145,6.132091946231602,3,4.0,7.0
1,3,111,34,5,0.5,4005.64623804911,5.867172386501836,3,4.0,7.0
1,3,111,33,6,0.5,4101.549248921639,5.093576747462679,3,4.0,7.0
1,3,111,0,8,0.5,5477.942363771997,7.516814314978316,3,4.0,7.0
1,3,111,2,9,0.5,5493.939457242544,7.889108250213786,3,4.0,7.0
1,3,111,5,10,0.5,5596.859434698246,7.674101684544569,3,4.0,7.0
1,3,111,7,11,0.5,5594.695868411931,7.4710599603861185,3,4.0,7.0
1,3,111,37,12,0.5,3917.735991165214,5.711572609447893,3,4.0,7.0
1,3,111,35,13,0.5,3995.0738404256062,5.649903292274849,3,4.0,7.0
1,3,111,32,14,0.5,3751.554298181751,5.12735515200292,3,4.0,7.0
1,3,111,30,15,0.5,3910.5394608510824,5.589449901296558,3,4.0,7.0
1,3,111,41,16,0.5,4038.3050445573617,6.473436317507879,3,4.0,7.0
1,3,111,43,17,0.5,4030.0413835131817,6.749407862122213,3,4.0,7.0
1,3,111,44,18,0.5,4010.8373425055447,6.715918452726158,3,4.0,7.0
1,3,111,46,19,0.5,4107.713876330246,6.7067474065839585,3,4.0,7.0
1,3,111,16,20,0.5,6181.252996731019,7.805355842126282,3,4.0,7.0
1,3,111,14,21,0.5,5906.082259172797,7.185866936464868,3,4.0,7.0
1,3,111,13,22,0.5,6257.399267058845,8.202761756401806,3,4.0,7.0
1,3,111,11,23,0.5,5768.013336689386,6.44237078206583,3,4.0,7.0
1,3,111,10,24,0.5,5324.233678074138,6.35781840973473,3,4.0,7.0
1,3,111,12,25,0.5,5520.333772955846,7.454799222464511,3,4.0,7.0
1,3,111,17,27,0.5,5449.342685931656,6.394391434989591,3,4.0,7.0
1,3,111,26,28,0.5,6129.478462705957,7.99456427326484,3,4.0,7.0
1,3,111,24,29,0.5,6126.278649708248,8.047962231032946,3,4.0,7.0
1,3,111,23,30,0.5,6086.812569207745,7.743210039988097,3,4.0,7.0
1,3,111,21,31,0.5,5370.706793460892,7.650443286477911,3,4.0,7.0
1,3,111,40,32,0.5,3992.7262190103593,7.020331501709967,3,4.0,7.0
1,3,111,42,33,0.5,3928.310716256284,6.51428617372899,3,4.0,7.0
1,3,111,45,34,0.5,4219.063525481226,7.013654602028829,3,4.0,7.0
1,3,111,47,35,0.5,4237.698881676254,6.698454347328141,3,4.0,7.0
1,3,111,27,36,0.5,5790.789050538563,8.471270889290103,3,4.0,7.0
1,3,111,25,37,0.5,5600.087471212185,8.51632739407224,3,4.0,7.0
1,3,111,22,38,0.5,5581.990877286174,7.961678833089281,3,4.0,7.0
1,3,111,20,39,0.5,5816.665107522482,7.822516356442712,3,4.0,7.0
1,4,112,0,0,0.4,2596.7793528627226,4.400085536947831,1,2.0,3.5
1,4,112,2,1,0.4,2748.736888674804,4.6930475603143424,1,2.0,3.5
1,4,112,5,2,0.4,2745.7454364873297,4.8339702879457205,1,2.0,3.5
1,4,112,7,3,0.4,2785.5082844330364,4.473560996372881,1,2.0,3.5
1,4,112,6,4,0.4,2739.8003578148164,4.409825595434715,1,2.0,3.5
1,4,112,4,5,0.4,2685.4571656265784,4.808226588694926,1,2.0,3.5
1,4,112,3,6,0.4,2889.441303543792,5.095453590265692,1,2.0,3.5
1,4,112,1,7,0.4,2725.422412093154,4.3624651470520694,1,2.0,3.5
1,4,112,10,8,0.4,2812.9205762704923,4.30841413311971,1,2.0,3.5
1,4,112,12,9,0.4,2773.009427907994,4.441281665458708,1,2.0,3.5
1,4,112,15,10,0.4,2792.339616727854,4.3270250024895605,1,2.0,3.5
1,4,112,17,11,0.4,2833.455547632005,4.620342801702227,1,2.0,3.5
1,4,112,16,12,0.4,2789.574526813006,4.138868600990999,1,2.0,3.5
