vgain,channel,led,bias,mean_0,e_mean_0,std_0,e_std_0,gain,e_gain,snr,e_snr,delta_std,e_delta_std,spe_amplitude,e_spe_amplitude,dynamic range
1500,1,730,1195,21.72357577884342,4.211989352832091,99.41637376858071,4.723587710371909,691.5150637549029,7.6284443084959985,6.955746196945352,0.33928043721634876,3967280.133681063,467301.40807331936,42.299876459172815,0.3666900586149423,387.3297364311119
1600,1,730,1195,28.165170786750284,3.993662867844441,96.629434265731,3.515025844222116,603.5144061802565,6.748872499039647,6.24565807267992,0.2376872658533283,2374903.2539460235,335538.05659177597,37.029160048392235,0.2857133795203799,442.4621022617923
1700,1,730,1195,15.585359075329153,3.094656297741596,89.63090966912964,2.661156656875754,524.6122945779048,5.890691272291705,5.853028787886886,0.18578998986994966,2229626.491045367,297855.6307179224,32.79942479226968,0.5075975745814547,499.52095513155024
1800,1,730,1195,24.008406663603527,3.081241972067234,78.02716511851432,2.4282444178533638,451.5715079260744,5.3169209147128385,5.787362737582341,0.19256520240635475,1359215.1097773998,203080.1895520221,29.177695664974877,0.2142689283904816,561.524809502605
1900,1,730,1195,13.994562060606516,3.1556775134114035,68.3659590600514,2.7168608093527595,363.40107818253034,5.710807901113905,5.315526662374846,0.2271554460591489,1177699.7824028064,205034.1961532877,23.869075266782108,0.46064680247832657,686.4111749985192
2000,1,730,1195,14.254274444306327,2.848452443300426,66.57487432974722,2.810231083621776,328.8571055341498,5.025604926556043,4.939657924178893,0.22175480444616716,780162.743762787,174078.75690818284,21.837210370197358,0.20904780919447816,750.2789835445418
2100,1,730,1195,12.740276214394664,2.4490373307165814,59.999458772517805,1.902889231640387,287.4681213772951,4.0991947461892115,4.791178574913533,0.16660531091640787,510844.6732140988,116043.44659494353,18.94534548096995,0.3164277188902761,864.803442959499
2200,1,730,1195,16.16757367211165,2.4840193702545528,57.38057598964614,1.9165533779104287,239.4285817491802,4.003950202917764,4.172641658257024,0.15586175773823818,290242.3463017567,107887.80352865577,16.173191529445614,0.3595726908721855,1013.0344385133002
2300,1,730,1195,9.05564672424486,0.015228993955092914,50.803022139723716,0.015227951842298637,198.1137160752468,0.02637743225147545,3.8996443071905054,0.0012790244398097348,502177.36244336225,658.0732117927167,13.311555423766878,0.27920363843105894,1230.8103357138475
2400,1,730,1195,-3.906107731073658,0.06284034507827424,42.62956194577167,0.06279714778625234,158.44612730129336,0.10884986366837016,3.7168134052808224,0.006041323252169373,984311.187207825,2782.1945488411698,13.012052809880698,0.43723747720297595,1259.140293955679
