Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
6,20,0,47.65,5.65,500,77.1,132,1542,134,153,1073.64,2.96881,74.3531,220.354,4.62381,0.0613896,25.7,0.156753,0.011066,1.15694,0.0176118,1.19162,1.38768,23.4588,15309,20001,,
6,21,0,47.65,5.55,500,77.1,132,1542,134,153,1177.3,2.87374,82.5406,198.496,5.46191,0.0771897,25.7,0.142482,0.0111984,1.19386,0.0189517,1.23399,1.42395,30.8585,13829,20001,,
6,20,0,47.65,5.65,600,66.317,132,1326.34,134,153,912.054,2.73316,62.6644,261.456,4.62376,0.0613608,22.1057,0.167713,0.0112556,1.16863,0.0183969,1.18825,1.4116,24.4238,15116,20001,,
6,21,0,47.65,5.55,600,66.317,132,1326.34,134,153,1004.28,2.37238,70.3769,232.804,5.514,0.0756741,22.1057,0.161959,0.0110737,1.19363,0.0189906,1.21946,1.43115,28.3936,14322,20001,,
6,20,0,47.65,5.65,700,57.9402,132,1158.8,134,153,798.597,2.3985,55.2192,296.708,4.73777,0.0650321,19.3134,0.154212,0.0114413,1.1757,0.018046,1.21802,1.41278,25.9687,14807,20001,,
6,21,0,47.65,5.55,700,57.9402,132,1158.8,134,153,882.783,2.03543,61.1246,268.043,5.57646,0.0743366,19.3134,0.132784,0.0106079,1.19765,0.0185649,1.23272,1.42641,28.0986,14381,20001,,
6,20,0,47.65,5.65,800,51.4598,132,1029.2,134,153,698.401,2.00834,48.0672,340.856,4.74555,0.0628609,17.1533,0.151171,0.0108641,1.17459,0.0176838,1.21271,1.40048,23.6588,15269,20001,,
6,21,0,47.65,5.55,800,51.4598,132,1029.2,134,153,767.706,1.89197,54.6523,299.786,5.44017,0.0757683,17.1533,0.151008,0.0112288,1.19603,0.0181012,1.23872,1.40076,28.3186,14337,20001,,
6,20,0,47.65,5.65,900,44.3087,132,886.175,134,153,591.809,1.62276,41.5269,394.54,4.79479,0.0623776,14.7696,0.151335,0.0108788,1.16831,0.0178089,1.20175,1.40241,22.3939,15522,20001,,
6,21,0,47.65,5.55,900,44.3087,132,886.175,134,153,655.444,1.44662,46.2562,354.201,5.43429,0.074952,14.7696,0.167556,0.0112107,1.1861,0.0182284,1.22707,1.42596,25.9687,14807,20001,,
6,20,0,47.65,5.65,1000,37.5588,132,751.177,134,153,501.26,1.33081,34.5161,474.678,4.7986,0.0613338,12.5196,0.172443,0.0109421,1.14448,0.0172859,1.17637,1.38886,21.1389,15773,20001,,
6,21,0,47.65,5.55,1000,37.5588,132,751.177,134,153,553.634,1.35139,39.1683,418.297,5.3078,0.0700961,12.5196,0.138799,0.0108299,1.19829,0.0178789,1.2349,1.40181,26.3637,14728,20001,,
6,20,0,47.65,5.65,1100,32.7559,132,655.117,134,153,447.909,1.17768,30.8731,530.688,4.76969,0.0619956,10.9186,0.159735,0.0107203,1.14564,0.0172641,1.18202,1.38318,21.0989,15781,20001,,
6,21,0,47.65,5.55,1100,32.7559,132,655.117,134,153,483.841,1.13142,33.3474,491.312,5.39158,0.074366,10.9186,0.140635,0.0110563,1.19453,0.0181518,1.24245,1.41208,25.4637,14908,20001,,
6,20,0,47.65,5.65,1200,29.0339,132,580.678,134,153,387.814,1.14959,26.4445,619.562,4.60457,0.0608537,9.67796,0.153179,0.0107491,1.15735,0.0177316,1.18644,1.38726,21.6039,15680,20001,,
6,21,0,47.65,5.55,1200,29.0339,132,580.678,134,153,428.098,1.00769,29.8793,548.339,5.04049,0.0684002,9.67796,0.144251,0.0107773,1.1958,0.0185133,1.22675,1.4087,26.3187,14737,20001,,
6,20,0,47.65,5.65,1300,25.4455,132,508.909,134,153,331.377,0.970057,22.8403,717.329,4.58078,0.0604559,8.48182,0.154155,0.0109743,1.15852,0.0176667,1.1862,1.37956,20.514,15898,20001,,
6,21,0,47.65,5.55,1300,25.4455,132,508.909,134,153,367.613,0.948818,25.7378,636.573,5.33512,0.0724941,8.48182,0.150351,0.0109095,1.18771,0.0182898,1.22387,1.40774,25.6187,14877,20001,,
6,20,0,47.65,5.65,1400,21.6392,132,432.785,134,153,279.637,0.898176,19.255,850.897,4.27686,0.0568453,7.21308,0.165703,0.0111619,1.17116,0.0178498,1.19863,1.40023,20.779,15845,20001,,
6,21,0,47.65,5.55,1400,21.6392,132,432.785,134,153,308.953,0.802156,21.3965,765.733,5.05864,0.0670594,7.21308,0.156752,0.0110546,1.19981,0.0181237,1.22786,1.42617,25.3987,14921,20001,,
6,20,0,47.65,5.65,1500,19.3435,132,386.87,134,153,239.506,0.854249,16.2855,1006.05,4.2014,0.0566095,6.44783,0.151934,0.0109813,1.11963,0.0180343,1.14913,1.36053,20.429,15915,20001,,
6,21,0,47.65,5.55,1500,19.3435,132,386.87,134,153,261.3,0.692215,18.1357,903.41,4.71704,0.0645185,6.44783,0.148396,0.0110904,1.18253,0.0182661,1.21686,1.42181,23.8238,15236,20001,,
6,20,0,47.65,5.65,1600,16.642,132,332.84,134,153,208.487,0.77067,13.9104,1177.82,3.90324,0.0541337,5.54733,0.166105,0.0115799,1.14593,0.0186464,1.16889,1.37945,21.8889,15623,20001,,
6,21,0,47.65,5.55,1600,16.642,132,332.84,134,153,231.236,0.658492,15.8704,1032.36,4.66271,0.061698,5.54733,0.153948,0.0111826,1.1925,0.0181995,1.21945,1.41872,25.1537,14970,20001,,
6,20,0,47.65,5.65,1700,14.5901,132,291.803,134,153,183.508,0.748739,12.4272,1318.39,3.75327,0.0548246,4.86338,0.174253,0.0125918,1.14837,0.018873,1.1841,1.39723,21.1489,15771,20001,,
6,21,0,47.65,5.55,1700,14.5901,132,291.803,134,153,200.92,0.609239,13.6986,1196.04,4.53881,0.0610334,4.86338,0.139081,0.0112098,1.1814,0.0181835,1.21738,1.39052,25.6037,14880,20001,,
6,20,0,47.65,5.65,1800,12.9062,132,258.124,134,153,153.352,0.745977,10.3279,1586.38,3.4972,0.0533273,4.30206,0.165857,0.0127704,1.15524,0.0199412,1.17781,1.38444,21.2139,15758,20001,,
6,21,0,47.65,5.55,1800,12.9062,132,258.124,134,153,165.202,0.578932,11.176,1466,4.09363,0.0557285,4.30206,0.16192,0.0115194,1.1587,0.0181917,1.19091,1.39532,23.1388,15373,20001,,
