Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
6,18,0,47.65,5.65,500,77.1,132,1542,134,153,1020.96,2.98666,71.0573,230.574,4.78203,0.0640146,25.7,0.157559,0.0112804,1.16564,0.0180225,1.19811,1.3819,28.0036,14400,20001,,
6,19,0,47.65,5.55,500,77.1,132,1542,134,153,1479.58,3.15633,104.212,157.219,5.98175,0.095866,25.7,0.142921,0.0118788,1.20333,0.0208502,1.23487,1.41458,34.8183,13037,20001,,
6,18,0,47.65,5.65,600,66.317,132,1326.34,134,153,866.748,2.55565,60.4179,271.178,4.6985,0.0650278,22.1057,0.15324,0.0113468,1.16867,0.0181145,1.20891,1.3961,27.4986,14501,20001,,
6,19,0,47.65,5.55,600,66.317,132,1326.34,134,153,1257.21,2.66738,89.2569,183.56,6.18916,0.0944969,22.1057,0.15523,0.0113887,1.20454,0.0196174,1.24259,1.42724,32.5534,13490,20001,,
6,18,0,47.65,5.65,700,57.9402,132,1158.8,134,153,756.043,2.28511,53.6795,305.219,4.64058,0.0609777,19.3134,0.164922,0.0110037,1.15879,0.0179543,1.18741,1.40001,25.5937,14882,20001,,
6,19,0,47.65,5.55,700,57.9402,132,1158.8,134,153,1106.29,2.19978,79.6606,205.672,6.6348,0.0962911,19.3134,0.153188,0.0109928,1.2094,0.0191443,1.24704,1.42491,30.4735,13906,20001,,
6,18,0,47.65,5.65,800,51.4598,132,1029.2,134,153,668.822,2.28931,46.024,355.988,4.69092,0.0726047,17.1533,0.136128,0.012695,1.19264,0.0207939,1.22595,1.40629,39.093,12182,20001,,
6,19,0,47.65,5.55,800,51.4598,132,1029.2,134,153,977.029,4.80324,69.922,234.318,5.63299,0.164102,17.1533,0.146589,0.0228672,1.1993,0.0393724,1.24625,1.4198,82.8459,3431,20001,,
6,18,0,47.65,5.65,900,44.3087,132,886.175,134,153,567.27,1.69093,39.782,411.844,4.68344,0.0627264,14.7696,0.156082,0.0113674,1.17169,0.0181651,1.20002,1.39765,25.5037,14900,20001,,
6,18,0,47.65,5.65,1000,37.5588,132,751.177,134,153,475.795,1.58067,33.2723,492.422,4.45101,0.0635693,12.5196,0.156785,0.0118548,1.1405,0.0189679,1.17208,1.36867,32.4334,13514,20001,,
6,19,0,47.65,5.55,1000,37.5588,132,751.177,134,153,479.516,494.214,43.9607,372.696,2.03527,4.03926,12.5196,0.0607414,0.0606904,-10.2046,2.8755,-10.2693,0.702211,99.995,1,20001,,
