vgain,channel,led,bias,mean_0,e_mean_0,std_0,e_std_0,gain,e_gain,snr,e_snr,delta_std,e_delta_std,spe_amplitude,e_spe_amplitude,dynamic range
1500,1,730,1169,22.504139657435907,3.798714820057253,98.84810378930032,3.104313907854035,543.7619490772952,6.723008730169805,5.500985130037001,0.18566397339259008,2105592.1200654553,334837.06793476426,38.13129350403346,0.32088156528275447,429.6733337479603
1600,1,730,1169,23.004992731869386,3.807875564598987,92.35999465253543,3.7194021924059797,481.23241666254813,6.4379053774357535,5.210398922964181,0.22110144908783871,1326808.3287102734,311321.3347626611,33.176312316420194,0.43574397647555496,493.8463275766471
1700,1,730,1169,13.968808495102055,3.580806562394658,76.18379547868437,2.5788877614406758,424.13660409413535,6.536106502470831,5.567281092116308,0.2070670279671938,1675302.1573894692,253925.06872870686,28.9708399614337,0.4579637344606296,565.534172354359
1800,1,730,1169,14.521276619593044,2.8082917563926433,72.53400573614475,2.42536413637918,367.4486777983031,4.717857197311784,5.065881500257445,0.18144958134644204,729042.7937289232,167244.65321297623,25.122184866435266,0.18493686785103103,652.172575240062
1900,1,730,1169,13.888346141711654,0.1225215811130077,64.89734532259381,0.12230077704927567,292.8167991923808,0.2122303953462725,4.511999647086297,0.009110172896757793,538934.9419917245,6432.419363489504,21.391082321692018,0.3482743316491068,765.9266489468607
2000,1,730,1169,14.279714409506598,2.945291231868803,63.77677841486248,2.227389597639789,257.55891113367034,4.969278208836244,4.038443419927417,0.1611328195995831,434748.35329650226,151593.65156736257,19.51099619148251,0.27424924998632244,839.7315974646342
2100,1,730,1169,7.051004380372552,2.6278149541431044,56.51435321118538,2.0183840162149203,223.77356787937256,4.760659680538068,3.9595882313854927,0.1646032054324802,388607.2376373948,118071.84570525707,17.263414609281014,0.29836677840780734,949.0590575975491
2200,1,730,1169,8.617363538494832,3.3892876209267913,49.729274107915884,2.587855654152669,191.4697208891243,5.567833505525313,3.850241619727287,0.22952281694717566,318144.41187157715,148430.04647823074,14.667689756406793,0.3519668839807707,1117.012990600209
2300,1,730,1169,11.529138693112145,2.719353944260306,54.17080838859307,1.2913441788775373,156.63875692523038,4.200531965181568,2.8915713385996713,0.10375072214194439,4.913297016173601e-05,83494.56953938048,12.605706122442614,0.39724390325862774,1299.7288561908235
