ConfigNumber,OfflineCh,Integrators,VGain,RMS
0,0,ON,2700,2.944977083978348
0,1,ON,2700,2.755821961153526
0,2,ON,2700,2.7532742733662188
0,3,ON,2700,2.730966019777193
0,4,ON,2700,3.3803324876013874
0,5,ON,2700,2.881207332653473
0,6,ON,2700,2.794578436111803
0,7,ON,2700,2.8754386175645896
0,8,ON,2700,2.7439050927294386
0,9,ON,2700,2.926411472467365
0,10,ON,2700,2.852764065889465
0,11,ON,2700,2.7949258827733896
0,12,ON,2700,2.832451021682358
0,13,ON,2700,2.804624022173358
0,14,ON,2700,3.166825827680713
0,15,ON,2700,3.100796864087048
0,16,ON,2700,2.816874346742545
0,17,ON,2700,2.8042894849351496
0,18,ON,2700,2.873932734729006
0,19,ON,2700,3.038323601139441
0,20,ON,2700,2.843595989862481
0,21,ON,2700,2.725759361022065
0,22,ON,2700,2.7732994761999774
0,23,ON,2700,2.7975489548627346
0,24,ON,2700,2.8822847289149363
0,25,ON,2700,2.8854032201630453
0,26,ON,2700,2.945882113748374
0,27,ON,2700,2.7829187148048247
0,28,ON,2700,2.959746757134269
0,29,ON,2700,2.7880547017557773
0,30,ON,2700,2.79640324403307
0,31,ON,2700,2.835877938836793
0,32,ON,2700,2.753722373267815
0,33,ON,2700,2.675885389848797
0,34,ON,2700,2.900046109805812
0,35,ON,2700,2.9502226811501067
0,36,ON,2700,2.9082678387848637
0,37,ON,2700,2.706887702756906
0,38,ON,2700,2.8050754394279487
0,39,ON,2700,2.8019665366403226
0,40,ON,2700,2.8483892704075813
0,41,ON,2700,2.7832787567767125
0,42,ON,2700,2.6669153940075394
0,43,ON,2700,2.803840811538276
0,44,ON,2700,2.7763350979115096
0,45,ON,2700,2.645010337488753
0,46,ON,2700,2.904250703650906
0,47,ON,2700,2.8309706813671567
0,48,ON,2700,2.7886686696870115
0,49,ON,2700,2.832859641213343
0,50,ON,2700,2.811312367445038
0,51,ON,2700,2.88636463612701
0,52,ON,2700,2.888053134857713
0,53,ON,2700,2.885279799409446
0,54,ON,2700,2.717627497202053
0,55,ON,2700,2.6277643037096103
0,56,ON,2700,2.827754250779567
0,57,ON,2700,2.798521768477962
0,58,ON,2700,2.864164715886279
0,59,ON,2700,2.680382905944652
0,60,ON,2700,2.833465819487298
0,61,ON,2700,2.716142499946164
0,62,ON,2700,2.6063937484040864
0,63,ON,2700,2.8102204311569445
0,64,ON,2700,2.941965908779062
0,65,ON,2700,2.6828299402100533
0,66,ON,2700,2.856343803570598
0,67,ON,2700,2.7801997162729912
0,68,ON,2700,2.858322567109129
0,69,ON,2700,2.694200161263006
0,70,ON,2700,2.739622697977153
0,71,ON,2700,2.750611948628632
0,72,ON,2700,2.6813073455404406
0,73,ON,2700,2.696080448389286
0,74,ON,2700,2.7329126418008243
0,75,ON,2700,2.7906420997427475
0,76,ON,2700,2.8420631896139383
0,77,ON,2700,2.7877387584736173
0,78,ON,2700,2.817283601532796
0,79,ON,2700,2.67881757008709
0,80,ON,2700,2.940715045889193
0,81,ON,2700,2.940715045889193
0,82,ON,2700,2.940715045889193
0,83,ON,2700,2.940715045889193
0,84,ON,2700,2.6798994525545825
0,85,ON,2700,2.6798994525545825
0,86,ON,2700,2.6798994525545825
0,87,ON,2700,2.6798994525545825
0,88,ON,2700,2.940715045889193
0,89,ON,2700,2.940715045889193
0,90,ON,2700,2.940715045889193
0,91,ON,2700,2.940715045889193
0,92,ON,2700,2.940715045889193
0,93,ON,2700,2.940715045889193
0,94,ON,2700,2.6798994525545825
0,95,ON,2700,2.6798994525545825
0,96,ON,2700,2.6798994525545825
0,97,ON,2700,2.6798994525545825
0,98,ON,2700,2.940715045889193
0,99,ON,2700,2.940715045889193
0,100,ON,2700,2.940715045889193
0,101,ON,2700,2.940715045889193
0,102,ON,2700,2.940715045889193
0,103,ON,2700,2.940715045889193
0,104,ON,2700,2.6798994525545825
0,105,ON,2700,2.6798994525545825
0,106,ON,2700,2.6798994525545825
0,107,ON,2700,2.6798994525545825
0,108,ON,2700,2.940715045889193
0,109,ON,2700,2.940715045889193
0,110,ON,2700,2.940715045889193
0,111,ON,2700,2.940715045889193
0,112,ON,2700,2.940715045889193
0,113,ON,2700,2.940715045889193
0,114,ON,2700,2.6798994525545825
0,115,ON,2700,2.6798994525545825
0,116,ON,2700,2.6798994525545825
0,117,ON,2700,2.6798994525545825
0,118,ON,2700,2.940715045889193
0,119,ON,2700,2.940715045889193
0,120,ON,2700,2.6798994525545825
0,121,ON,2700,2.6798994525545825
0,122,ON,2700,2.940715045889193
0,123,ON,2700,2.940715045889193
0,124,ON,2700,2.6798994525545825
0,125,ON,2700,2.6798994525545825
0,126,ON,2700,2.940715045889193
0,127,ON,2700,2.6798994525545825
0,128,ON,2700,2.940715045889193
0,129,ON,2700,2.6798994525545825
0,130,ON,2700,2.6798994525545825
0,131,ON,2700,2.6798994525545825
0,132,ON,2700,2.940715045889193
0,133,ON,2700,2.940715045889193
0,134,ON,2700,2.6798994525545825
0,135,ON,2700,2.6798994525545825
0,136,ON,2700,2.940715045889193
0,137,ON,2700,2.6798994525545825
0,138,ON,2700,2.940715045889193
0,139,ON,2700,2.6798994525545825
0,140,ON,2700,2.6798994525545825
0,141,ON,2700,2.6798994525545825
0,142,ON,2700,2.940715045889193
0,143,ON,2700,2.940715045889193
0,144,ON,2700,2.6798994525545825
0,145,ON,2700,2.6798994525545825
0,146,ON,2700,2.940715045889193
0,147,ON,2700,2.6798994525545825
0,148,ON,2700,2.940715045889193
0,149,ON,2700,2.6798994525545825
0,150,ON,2700,2.6798994525545825
0,151,ON,2700,2.6798994525545825
0,152,ON,2700,2.940715045889193
0,153,ON,2700,2.940715045889193
0,154,ON,2700,2.6798994525545825
0,155,ON,2700,2.6798994525545825
0,156,ON,2700,2.940715045889193
0,157,ON,2700,2.6798994525545825
0,158,ON,2700,2.940715045889193
0,159,ON,2700,2.6798994525545825
1,0,ON,2318,5.052376129981028
1,1,ON,2318,4.6294881927891085
1,2,ON,2318,4.66486332683706
1,3,ON,2318,4.528481062861308
1,4,ON,2318,5.166825135906299
1,5,ON,2318,4.892893893079266
1,6,ON,2318,4.738097671859166
1,7,ON,2318,4.817025954387502
1,8,ON,2318,4.698165810656616
1,9,ON,2318,4.89857730484333
1,10,ON,2318,4.83905733818676
