run,channels
31185,"[10420, 10422, 10921]"
31186,"[10401, 10403, 10411, 10413, 10415, 10445, 10447, 10914, 10916, 10941]"
31187,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446, 10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
31188,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437, 10903, 10904, 10906, 10911, 10917, 10922, 10947]"
31189,"[10402, 10423, 10424, 10427, 10436, 10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
31190,"[10400, 10406, 10425, 10426, 10923]"
31191,"[10420, 10422, 10921]"
31192,"[10401, 10403, 10411, 10413, 10415, 10445, 10447, 10914, 10916, 10941]"
31193,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446, 10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
31194,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437, 10903, 10904, 10906, 10911, 10917, 10922, 10947]"
31195,"[10402, 10423, 10424, 10427, 10436, 10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
31196,"[10400, 10406, 10425, 10426, 10923]"
31197,"[10420, 10422, 10921]"
29927,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
29928,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
29929,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
29930,"[10402, 10423, 10424, 10427, 10436]"
29931,"[10914, 10916, 10941]"
29932,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
29933,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
29934,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
29935,[10923]
29936,[10921]
29937,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
29938,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
29939,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
29940,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30214,[11136]
29943,"[11101, 11103, 11104, 11106, 11127]"
29945,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
29947,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
29949,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
29950,"[10402, 10423, 10424, 10427, 10436]"
29951,"[10914, 10916, 10941]"
29952,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
29953,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
29955,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
29958,[10923]
29960,[10921]
29962,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
29963,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
29964,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
29965,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30215,[11136]
29967,"[11101, 11103, 11104, 11106, 11127]"
29968,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
29969,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
29970,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
29971,"[10402, 10423, 10424, 10427, 10436]"
29972,"[10914, 10916, 10941]"
29973,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
29974,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
29975,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
29976,[10923]
29977,[10921]
29978,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
29979,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
29980,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
29981,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30216,[11136]
29983,"[11101, 11103, 11104, 11106, 11127]"
29984,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
29985,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
29986,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
29987,"[10402, 10423, 10424, 10427, 10436]"
29988,"[10914, 10916, 10941]"
29989,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
29990,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
29991,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
29993,[10923]
29995,[10921]
29996,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
29997,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
29998,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
29999,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30217,[11136]
30002,"[11101, 11103, 11104, 11106, 11127]"
30003,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30004,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30005,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30006,"[10402, 10423, 10424, 10427, 10436]"
30007,"[10914, 10916, 10941]"
30008,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30009,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30010,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30011,[10923]
30013,[10921]
30014,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30015,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30016,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30017,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30219,[11136]
30019,"[11101, 11103, 11104, 11106, 11127]"
31101,"[10401, 10403, 10411, 10413, 10415, 10445, 10447, 10914, 10916, 10941]"
30021,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30022,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30023,"[10402, 10423, 10424, 10427, 10436]"
30024,"[10914, 10916, 10941]"
30025,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30026,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30027,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30028,[10923]
30029,[10921]
30030,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30031,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30032,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30033,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30222,[11136]
30035,"[11101, 11103, 11104, 11106, 11127]"
30036,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30037,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30038,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30039,"[10402, 10423, 10424, 10427, 10436]"
30040,"[10914, 10916, 10941]"
30041,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30042,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30043,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30044,[10923]
30045,[10921]
30046,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30047,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
