Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
3,12,784,30.3808,3.4808,500,77.1,125,1542,126,150,846.114,7.69402,44.0396,372.029,3.53961,0.135318,25.7,0.113837,0.0298813,1.70775,0.0491456,1.77334,1.90016,70.302,4455,15001,,
3,13,784,30.3808,3.4808,500,76.2043,125,1524.09,126,150,847.262,7.08465,46.8531,349.688,3.58528,0.128661,25.4014,0.12709,0.0284023,1.68654,0.0505596,1.72318,1.90958,72.9551,4057,15001,,
3,12,784,30.3808,3.4808,600,66.317,125,1326.34,126,150,715.558,8.17063,36.6407,447.153,4.00802,0.150706,22.1057,0.126359,0.0310555,1.67625,0.0506495,1.72331,1.89965,68.0955,4786,15001,,
3,13,784,30.3808,3.4808,600,65.9695,125,1319.39,126,150,727.164,7.04396,39.3185,416.7,3.62041,0.146449,21.9898,0.0822906,0.0299294,1.74586,0.0550213,1.78666,1.94175,70.9086,4364,15001,,
3,12,784,30.3808,3.4808,700,57.9402,125,1158.8,126,150,631.416,6.38688,32.6362,502.019,3.61934,0.161046,19.3134,0.0999053,0.0311478,1.69735,0.0571647,1.75604,1.86494,68.8221,4677,15001,,
3,13,784,30.3808,3.4808,700,57.6788,125,1153.58,126,150,623.258,6.15584,34.2499,478.366,3.76757,0.143251,19.2263,0.0824598,0.0285029,1.79709,0.0515569,1.85999,1.99326,71.3486,4298,15001,,
3,12,784,30.3808,3.4808,800,51.4598,125,1029.2,126,150,557.906,5.54285,28.4607,575.672,3.70979,0.132407,17.1533,0.0939328,0.0260337,1.66385,0.0472875,1.73029,1.87048,68.6088,4709,15001,,
3,13,784,30.3808,3.4808,800,50.8485,125,1016.97,126,150,573.98,5.13281,30.2179,542.194,3.43208,0.13974,16.9495,0.0524074,0.0295126,1.80338,0.0576398,1.84981,1.95245,73.0085,4049,15001,,
3,12,784,30.3808,3.4808,900,44.3087,125,886.175,126,150,478.334,4.75404,24.2787,674.83,3.74143,0.130947,14.7696,0.105117,0.0276324,1.67566,0.0470976,1.73063,1.88049,67.8688,4820,15001,,
3,13,784,30.3808,3.4808,900,43.6215,125,872.431,126,150,481.912,4.61871,25.5597,641.008,3.51144,0.1437,14.5405,0.0825638,0.0304349,1.77296,0.0542519,1.83035,1.92656,71.1219,4332,15001,,
3,12,784,30.3808,3.4808,1000,37.5588,125,751.177,126,150,407.005,4.49168,21.5953,758.683,3.82101,0.138412,12.5196,0.106279,0.0289502,1.69492,0.0506798,1.72171,1.84459,70.062,4491,15001,,
3,13,784,30.3808,3.4808,1000,36.9329,125,738.658,126,150,408.468,4.1236,22.5346,727.061,3.65542,0.147382,12.311,0.093733,0.0306839,1.78331,0.0561103,1.82378,1.99028,70.602,4410,15001,,
3,12,784,30.3808,3.4808,1100,32.7559,125,655.117,126,150,345.956,4.56841,17.4762,937.505,3.34699,0.149963,10.9186,0.0635715,0.0319567,1.74425,0.0588506,1.79087,1.89754,69.1954,4621,15001,,
3,13,784,30.3808,3.4808,1100,32.2377,125,644.753,126,150,351.552,3.45461,18.1623,902.09,3.38878,0.139845,10.7459,0.0945318,0.0310998,1.7218,0.0581827,1.73976,1.92449,70.5753,4414,15001,,
3,12,784,30.3808,3.4808,1200,29.0339,125,580.678,126,150,308.199,3.84066,15.9696,1025.95,3.42385,0.147469,9.67796,0.0887933,0.0309394,1.71943,0.0557897,1.77213,1.88481,68.1621,4776,15001,,
3,13,784,30.3808,3.4808,1200,28.8744,125,577.489,126,150,316.72,3.33732,16.4092,998.466,3.37354,0.152162,9.62481,0.104274,0.0328389,1.76017,0.0608077,1.79246,1.93601,71.7286,4241,15001,,
3,12,784,30.3808,3.4808,1300,25.4455,125,508.909,126,150,265.781,3.00892,14.2061,1153.3,3.12759,0.119426,8.48182,0.0979269,0.0296833,1.64275,0.0519123,1.70996,1.87328,67.3822,4893,15001,,
