SiPMChannel,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty,ThresholdFitCalibrated,LED
10903,FBK,7.6,194.9,3.7,50,234,251,266352.1132,683.1787555,266821.7901,915.3473507,,,,,,,1.371344133,1.048674925,0.612579364,0.60578794,999
10903,FBK,7.6,194.9,3.7,100,232,253,136844.999,490.2917968,141862.4124,668.2559506,,,,,,,1.125680862,1.125680862,0.698178834,0.73587083,999
10903,FBK,7.6,194.9,3.7,150,231,252,89788.44411,396.5300288,95549.51642,547.5819297,1.018118955,0.00436326,0.241734025,0.002451428,0.983632036,0.00059936,1.297713406,1.216606318,0.879810875,0.86595372,999
10903,FBK,7.6,194.9,3.7,200,229,253,62440.15175,347.9167431,70879.18959,496.2171026,1.115767979,0.004783371,0.284005715,0.002711064,0.992193458,0.000430033,1.221210877,1.302624936,0.919109567,0.99603661,999
10903,FBK,7.6,194.9,3.7,250,228,253,53971.59235,308.5451409,61735.4583,441.7458076,1.233898618,0.005055491,0.305938012,0.00272608,0.993738179,0.000433113,1.375580737,1.456497251,0.981938761,1.1261195,999
10903,FBK,7.6,194.9,3.7,300,228,252,44029.93682,278.0918231,51606.48638,403.0281085,1.46955797,0.00557621,0.372918557,0.002943042,0.99691009,0.000330086,1.774629041,1.774629041,1.116631755,1.25620239,999
10903,FBK,7.6,194.9,3.7,350,226,253,22768.98779,199.8125431,28968.33876,301.7044272,1.518268885,0.005132632,0.335788426,0.002632147,0.997606689,0.000296909,1.671263212,1.671263212,1.189829196,1.38628528,999
10903,FBK,7.6,194.9,3.7,400,226,254,17798.87979,177.1844345,23845.04514,274.5347403,1.635196284,0.005420276,0.29451576,0.003076756,0.995107932,0.000524778,1.595050942,1.674803489,1.369411513,1.51636817,999
10903,FBK,7.6,194.9,3.7,450,223,252,15074.07284,162.6993265,19296.61145,246.4222843,1.604170477,0.006195103,0.175255674,0.00427009,0.970173929,0.001077704,,1.758464854,1.491304615,1.64645106,999
10903,FBK,7.6,194.9,3.7,500,227,253,12791.45447,149.4569498,17652.50753,235.0327356,1.623409367,0.004806341,0.130601923,0.003139484,0.958902664,0.000974195,2.228909184,1.990097486,1.575841238,1.77653395,999
10903,FBK,7.6,194.9,3.7,550,225,253,11676.11228,142.8170446,16437.73008,226.8406253,1.689022142,0.004006226,0.120445079,0.002637102,0.953539592,0.000963724,2.24607491,2.165857949,1.662287478,1.90661684,999
10903,FBK,7.6,194.9,3.7,600,225,255,10839.99522,138.0135432,14579.18734,214.2608489,1.842528462,0.003701411,0.135820781,0.002655999,0.954353407,0.00096258,2.161741552,2.161741552,1.832079425,2.03669973,999
10903,FBK,7.6,194.9,3.7,650,225,252,9343.294639,133.9549054,13205.26146,213.182281,2.037766997,0.003664593,0.127241098,0.00304297,0.958360321,0.000947272,1.137937404,2.113312321,2.032630649,2.16678262,999
10903,FBK,7.6,194.9,3.7,700,226,251,8182.910885,119.6020162,11211.63328,187.4079607,2.242612257,0.003750713,0.121824369,0.00270478,0.962524187,0.000889514,,0.645748882,2.236251187,2.29686551,999
10903,FBK,7.6,194.9,3.7,750,221,255,7528.736906,114.7321437,9775.538595,175.0102147,2.417420647,0.003987638,0.118654707,0.002317177,0.966186655,0.000849618,0.400598109,0.640956974,2.413271465,2.4269484,999
10903,FBK,7.6,194.9,3.7,800,219,252,6638.554713,108.0046769,8731.713154,165.8152712,2.528728512,0.003707723,0.099301575,0.002015343,0.967766599,0.00082664,0.402066994,0.482480393,2.527714328,2.55703129,999
10903,FBK,7.6,194.9,3.7,850,225,251,6374.115598,105.8536982,8130.516686,160.0383788,2.618727797,0.003637139,0.095774899,0.001936248,0.966499574,0.000851786,0.401609617,0.48193154,2.618359988,2.68711418,999
10903,FBK,7.6,194.9,3.7,900,224,251,5854.631004,101.5933054,7708.297793,156.0499275,2.750096393,0.003442971,0.099337628,0.002083243,0.968024685,0.000856704,0.402150553,0.482580664,2.751117969,2.81719707,999
10903,FBK,7.6,194.9,3.7,950,219,253,5488.036025,98.1258838,6967.195075,148.0038772,2.931693609,0.003287471,0.113513365,0.002201423,0.969375042,0.000855082,0.482167265,0.482167265,2.935598228,2.94727996,999
10903,FBK,7.6,194.9,3.7,1000,227,253,5141.294133,94.98141612,6653.627736,144.6440812,3.14067787,0.003442231,0.119132044,0.002400732,0.972465314,0.000839876,0.48310313,0.48310313,3.142948022,3.07736285,999
10903,FBK,7.6,194.9,3.7,1050,219,252,4959.529955,93.27765372,5960.614673,136.8900497,3.325950338,0.00366379,0.112142881,0.002171775,0.975669472,0.000798301,0.560742945,0.48063681,3.328066371,3.20744574,999
10903,FBK,7.6,194.9,3.7,1100,223,254,4526.095202,89.4548109,5778.918354,135.3113234,3.464459773,0.003775207,0.102970426,0.002024771,0.974048851,0.00083509,0.324956095,0.487434142,3.467255006,3.33752863,999
10903,FBK,7.6,194.9,3.7,1150,225,251,4511.49586,88.97531308,5251.374162,128.5034322,3.567673267,0.003672892,0.092989778,0.001942356,0.974624675,0.00083185,0.403538811,0.403538811,3.570271373,3.46761152,999
