Year/Month/Day Hour:Minute:Second.Millisecond,NP02_DCS_01:XE_KG.,
Year/Month/Day Hour:Minute:Second.Millisecond,Xenon bottle,
2026/04/14 04:24:44.000,21.420000076294,
2026/04/14 10:09:23.000,21.409999847412,
2026/04/14 11:44:07.000,21.420000076294,
2026/04/14 13:53:57.000,21.430000305176,
2026/04/15 09:10:14.000,21.420000076294,
2026/04/15 09:16:04.000,21.409999847412,
2026/04/15 09:28:29.000,21.39999961853,
2026/04/15 09:55:21.000,21.409999847412,
2026/04/15 10:27:05.000,21.420000076294,
2026/04/15 11:16:16.000,21.430000305176,
2026/04/15 13:49:28.000,21.440000534058,
2026/04/15 15:34:50.000,21.450000762939,
2026/04/15 17:41:02.000,21.459999084473,
2026/04/15 19:16:51.000,21.469999313354,
2026/04/15 20:54:35.000,21.459999084473,
2026/04/15 21:55:44.000,21.450000762939,
2026/04/16 01:55:02.000,21.440000534058,
2026/04/16 03:35:58.000,21.430000305176,
2026/04/16 12:13:56.000,21.440000534058,
2026/04/16 13:00:16.000,21.450000762939,
2026/04/16 15:41:34.000,21.469999313354,
2026/04/16 16:15:04.000,21.520000457764,
2026/04/16 16:15:11.000,21.479999542236,
2026/04/16 16:15:20.000,21.489999771118,
2026/04/16 16:15:27.000,21.479999542236,
2026/04/16 16:15:35.000,21.530000686646,
2026/04/16 16:15:43.000,21.479999542236,
2026/04/16 16:15:52.000,21.5,
2026/04/16 16:16:06.000,21.479999542236,
2026/04/16 16:16:12.000,21.5,
2026/04/16 16:16:59.000,21.479999542236,
2026/04/16 17:13:06.000,21.489999771118,
2026/04/16 20:23:46.000,21.479999542236,
2026/04/16 21:51:34.000,21.469999313354,
2026/04/16 22:48:53.000,21.459999084473,
2026/04/17 03:00:01.000,21.440000534058,
2026/04/17 04:22:03.000,21.430000305176,
2026/04/17 10:26:53.000,21.440000534058,
