Year/Month/Day Hour:Minute:Second.Millisecond,NP02_DCS_01:XE_KG.,
Year/Month/Day Hour:Minute:Second.Millisecond,Xenon bottle,
2026/03/30 16:49:16.000,24.319999694824,
2026/03/30 16:54:09.000,24.309999465942,
2026/03/30 16:59:00.000,24.299999237061,
2026/03/30 17:12:53.000,24.280000686646,
2026/03/30 17:24:44.000,24.270000457764,
2026/03/30 17:31:56.000,24.260000228882,
2026/03/30 17:48:23.000,24.25,
2026/03/30 17:58:01.000,24.239999771118,
2026/03/30 18:08:17.000,24.229999542236,
2026/03/30 18:31:56.000,24.219999313354,
2026/03/30 18:44:10.000,24.209999084473,
2026/03/30 19:23:34.000,24.190000534058,
2026/03/30 19:47:27.000,24.180000305176,
2026/03/30 20:01:07.000,24.170000076294,
2026/03/30 20:13:55.000,24.159999847412,
2026/03/30 20:39:34.000,24.14999961853,
2026/03/30 20:44:34.000,24.139999389648,
2026/03/30 21:02:12.000,24.129999160767,
2026/03/30 21:39:51.000,24.110000610352,
2026/03/30 21:55:54.000,24.10000038147,
2026/03/30 22:11:04.000,24.090000152588,
2026/03/30 22:39:41.000,24.079999923706,
2026/03/30 22:53:10.000,24.069999694824,
2026/03/30 23:16:10.000,24.059999465942,
2026/03/30 23:29:41.000,24.049999237061,
2026/03/31 00:08:30.000,24.030000686646,
2026/03/31 00:21:42.000,24.020000457764,
2026/03/31 00:48:42.000,24.010000228882,
2026/03/31 01:02:15.000,24,
2026/03/31 01:29:37.000,23.989999771118,
2026/03/31 01:41:31.000,23.979999542236,
2026/03/31 01:54:06.000,23.969999313354,
2026/03/31 02:18:46.000,23.959999084473,
2026/03/31 02:54:29.000,23.940000534058,
2026/03/31 03:05:39.000,23.930000305176,
2026/03/31 03:29:00.000,23.920000076294,
2026/03/31 03:42:01.000,23.909999847412,
2026/03/31 03:54:14.000,23.89999961853,
2026/03/31 04:18:09.000,23.889999389648,
2026/03/31 04:30:42.000,23.879999160767,
2026/03/31 05:01:12.000,23.860000610352,
2026/03/31 05:10:18.000,23.85000038147,
2026/03/31 05:34:12.000,23.840000152588,
2026/03/31 05:45:49.000,23.829999923706,
2026/03/31 06:12:58.000,23.819999694824,
2026/03/31 06:25:47.000,23.809999465942,
2026/03/31 06:51:57.000,23.799999237061,
2026/03/31 07:17:41.000,23.780000686646,
2026/03/31 07:43:14.000,23.770000457764,
2026/03/31 07:54:40.000,23.760000228882,
2026/03/31 08:19:20.000,23.75,
2026/03/31 08:31:17.000,23.739999771118,
2026/03/31 08:47:32.000,23.729999542236,
2026/03/31 08:51:36.000,23.719999313354,
2026/03/31 09:01:45.000,23.709999084473,
2026/03/31 09:42:30.000,23.690000534058,
2026/03/31 10:07:08.000,23.680000305176,
2026/03/31 10:19:44.000,23.670000076294,
2026/03/31 10:48:50.000,23.659999847412,
2026/03/31 11:01:46.000,23.64999961853,
2026/03/31 11:15:47.000,23.639999389648,
2026/03/31 11:43:38.000,23.629999160767,
2026/03/31 12:25:16.000,23.610000610352,
2026/03/31 12:38:38.000,23.60000038147,
2026/03/31 12:52:51.000,23.590000152588,
2026/03/31 13:21:30.000,23.579999923706,
2026/03/31 13:35:19.000,23.569999694824,
2026/03/31 14:01:37.000,23.559999465942,
2026/03/31 14:14:45.000,23.549999237061,
