Year/Month/Day Hour:Minute:Second.Millisecond,NP02_DCS_01:XE_KG.,
Year/Month/Day Hour:Minute:Second.Millisecond,Xenon bottle,
2026/04/13 11:01:17.000,21.770000457764,
2026/04/13 11:13:09.000,21.760000228882,
2026/04/13 11:30:48.000,21.75,
2026/04/13 11:41:25.000,21.739999771118,
2026/04/13 11:53:59.000,21.729999542236,
2026/04/13 12:20:05.000,21.719999313354,
2026/04/13 12:33:03.000,21.709999084473,
2026/04/13 13:12:04.000,21.690000534058,
2026/04/13 13:37:32.000,21.680000305176,
2026/04/13 13:49:41.000,21.670000076294,
2026/04/13 14:02:23.000,21.659999847412,
2026/04/13 14:15:07.000,21.64999961853,
2026/04/13 14:25:08.000,21.639999389648,
