Year/Month/Day Hour:Minute:Second.Millisecond,NP02_DCS_01:XE_KG.,
Year/Month/Day Hour:Minute:Second.Millisecond,NP02_DCS_01:XE_KG.,
2026/04/07 16:53:26.000,23.670000076294,
2026/04/07 17:27:33.000,23.659999847412,
2026/04/07 17:44:16.000,23.64999961853,
2026/04/07 18:00:28.000,23.639999389648,
2026/04/07 18:32:39.000,23.629999160767,
2026/04/07 19:16:09.000,23.610000610352,
2026/04/07 19:29:36.000,23.60000038147,
2026/04/07 19:42:12.000,23.590000152588,
2026/04/07 20:06:30.000,23.579999923706,
2026/04/07 20:18:44.000,23.569999694824,
2026/04/07 20:42:21.000,23.559999465942,
2026/04/07 20:53:44.000,23.549999237061,
2026/04/07 21:21:22.000,23.530000686646,
2026/04/07 21:30:05.000,23.520000457764,
2026/04/07 21:47:44.000,23.510000228882,
2026/04/07 21:56:57.000,23.5,
2026/04/07 22:16:24.000,23.489999771118,
2026/04/07 22:26:46.000,23.479999542236,
2026/04/07 22:47:01.000,23.469999313354,
2026/04/07 22:56:49.000,23.459999084473,
2026/04/07 23:27:31.000,23.440000534058,
2026/04/07 23:37:37.000,23.430000305176,
2026/04/07 23:58:33.000,23.420000076294,
2026/04/08 00:09:05.000,23.409999847412,
2026/04/08 00:29:28.000,23.39999961853,
2026/04/08 00:39:42.000,23.389999389648,
2026/04/08 00:50:28.000,23.379999160767,
2026/04/08 01:22:19.000,23.360000610352,
2026/04/08 01:43:22.000,23.35000038147,
2026/04/08 01:53:12.000,23.340000152588,
2026/04/08 02:03:45.000,23.329999923706,
2026/04/08 02:24:13.000,23.319999694824,
2026/04/08 02:34:02.000,23.309999465942,
2026/04/08 02:54:33.000,23.299999237061,
2026/04/08 03:25:31.000,23.280000686646,
2026/04/08 03:36:01.000,23.270000457764,
2026/04/08 03:46:50.000,23.260000228882,
2026/04/08 04:07:23.000,23.25,
2026/04/08 04:17:56.000,23.239999771118,
2026/04/08 04:38:52.000,23.229999542236,
2026/04/08 04:49:58.000,23.219999313354,
2026/04/08 05:11:38.000,23.209999084473,
2026/04/08 05:32:00.000,23.190000534058,
2026/04/08 05:52:19.000,23.180000305176,
2026/04/08 06:03:34.000,23.170000076294,
2026/04/08 06:27:21.000,23.159999847412,
2026/04/08 06:39:08.000,23.14999961853,
2026/04/08 07:01:44.000,23.139999389648,
2026/04/08 07:13:31.000,23.129999160767,
2026/04/08 07:26:05.000,23.120000839233,
2026/04/08 07:51:06.000,23.110000610352,
2026/04/08 08:04:30.000,23.10000038147,
2026/04/08 08:35:50.000,23.090000152588,
2026/04/08 08:47:49.000,23.079999923706,
2026/04/08 09:00:18.000,23.069999694824,
2026/04/08 09:26:19.000,23.059999465942,
2026/04/08 09:39:57.000,23.049999237061,
2026/04/08 10:22:13.000,23.030000686646,
2026/04/08 10:51:24.000,23.020000457764,
2026/04/08 11:07:37.000,23.010000228882,
2026/04/08 11:23:23.000,23,
2026/04/08 11:56:51.000,22.989999771118,
2026/04/08 12:14:07.000,22.979999542236,
2026/04/08 12:48:12.000,22.969999313354,
2026/04/08 13:04:54.000,22.959999084473,
