Year/Month/Day Hour:Minute:Second.Millisecond,NP02_DCS_01:XE_KG.,
Year/Month/Day Hour:Minute:Second.Millisecond,Xenon bottle,
2026/04/11 16:38:41.000,23.010000228882,
2026/04/11 17:15:24.000,23,
2026/04/11 17:31:54.000,22.989999771118,
2026/04/11 18:04:15.000,22.979999542236,
2026/04/11 18:20:20.000,22.969999313354,
2026/04/11 18:34:43.000,22.959999084473,
2026/04/11 19:19:10.000,22.940000534058,
2026/04/11 19:49:24.000,22.930000305176,
2026/04/11 20:03:25.000,22.920000076294,
2026/04/11 20:32:06.000,22.909999847412,
2026/04/11 20:45:40.000,22.89999961853,
2026/04/11 20:59:46.000,22.889999389648,
2026/04/11 21:25:36.000,22.879999160767,
2026/04/11 22:01:59.000,22.860000610352,
2026/04/11 22:14:12.000,22.85000038147,
2026/04/11 22:26:08.000,22.840000152588,
2026/04/11 22:50:50.000,22.829999923706,
2026/04/11 23:03:06.000,22.819999694824,
2026/04/11 23:27:35.000,22.809999465942,
2026/04/11 23:39:16.000,22.799999237061,
2026/04/12 00:14:28.000,22.780000686646,
2026/04/12 00:27:46.000,22.770000457764,
2026/04/12 00:54:17.000,22.760000228882,
2026/04/12 01:07:12.000,22.75,
2026/04/12 01:33:34.000,22.739999771118,
2026/04/12 01:47:22.000,22.729999542236,
2026/04/12 02:12:44.000,22.719999313354,
2026/04/12 02:25:21.000,22.709999084473,
2026/04/12 03:03:41.000,22.690000534058,
2026/04/12 03:16:03.000,22.680000305176,
2026/04/12 03:39:53.000,22.670000076294,
2026/04/12 03:51:30.000,22.659999847412,
2026/04/12 04:17:02.000,22.64999961853,
2026/04/12 04:29:56.000,22.639999389648,
2026/04/12 04:43:04.000,22.629999160767,
2026/04/12 05:22:28.000,22.610000610352,
2026/04/12 05:49:32.000,22.60000038147,
2026/04/12 06:03:08.000,22.590000152588,
2026/04/12 06:16:17.000,22.579999923706,
2026/04/12 06:44:03.000,22.569999694824,
2026/04/12 06:57:46.000,22.559999465942,
2026/04/12 07:26:15.000,22.549999237061,
2026/04/12 08:08:32.000,22.530000686646,
2026/04/12 08:22:53.000,22.520000457764,
2026/04/12 08:36:29.000,22.510000228882,
2026/04/12 09:03:55.000,22.5,
2026/04/12 09:19:14.000,22.489999771118,
2026/04/12 09:48:25.000,22.479999542236,
2026/04/12 10:03:17.000,22.469999313354,
2026/04/12 10:33:51.000,22.459999084473,
2026/04/12 11:06:26.000,22.440000534058,
2026/04/12 11:38:26.000,22.430000305176,
2026/04/12 11:54:22.000,22.420000076294,
2026/04/12 12:26:10.000,22.409999847412,
2026/04/12 12:42:07.000,22.39999961853,
2026/04/12 13:13:35.000,22.389999389648,
2026/04/12 13:29:06.000,22.379999160767,
