Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
2,2,1195,46.5295,5.02953,500,92.3569,121,1847.14,123,144,2445.47,9.89856,155.494,105.367,7.93305,0.154817,30.7856,0.150378,0.0169004,1.03736,0.0223218,1.10021,1.25688,42.8279,11435,20001,,
2,3,1195,46.5295,4.92953,500,93.219,121,1864.38,123,144,2358.39,10.5893,148.159,110.584,7.6781,0.176933,31.073,0.129808,0.0193815,1.27673,0.0259693,1.3634,1.49927,44.1978,11161,20001,,
2,2,1195,46.5295,5.02953,600,93.219,121,1864.38,123,144,2099.85,8.28551,134.395,121.909,7.92355,0.141129,31.073,0.139883,0.0156411,1.04651,0.0205457,1.11878,1.24471,30.6985,13861,20001,,
2,3,1195,46.5295,4.92953,600,93.219,121,1864.38,123,144,2029.81,8.67386,127.669,128.332,7.67596,0.151848,31.073,0.106159,0.0177781,1.29034,0.0248352,1.36232,1.51432,32.9434,13412,20001,,
2,2,1195,46.5295,5.02953,700,93.219,121,1864.38,123,144,1845.77,7.12851,117.855,139.019,7.84103,0.122579,31.073,0.147536,0.0158613,1.04563,0.0195305,1.12069,1.24002,28.7086,14259,20001,,
2,3,1195,46.5295,4.92953,700,93.219,121,1864.38,123,144,1758.75,7.18802,110.62,148.111,7.06934,0.133811,31.073,0.134566,0.0173229,1.28803,0.0233116,1.35618,1.52465,28.5086,14299,20001,,
2,2,1195,46.5295,5.02953,800,93.219,121,1864.38,123,144,1604.65,6.40611,102.043,160.56,7.36361,0.113513,31.073,0.156542,0.0153805,1.05269,0.0191449,1.12455,1.27274,25.5737,14886,20001,,
2,3,1195,46.5295,4.92953,800,93.219,121,1864.38,123,144,1527.6,6.68788,96.9775,168.946,6.86464,0.118765,31.073,0.150072,0.0172529,1.29363,0.0224066,1.35275,1.53411,25.5537,14890,20001,,
2,2,1195,46.5295,5.02953,900,93.219,121,1864.38,123,144,1348.2,5.812,85.6943,191.191,7.12045,0.111762,31.073,0.148195,0.0151413,1.05847,0.0191703,1.12542,1.2428,20.684,15864,20001,,
2,3,1195,46.5295,4.92953,900,93.219,121,1864.38,123,144,1294.07,5.81444,80.6504,203.148,6.47176,0.127502,31.073,0.136972,0.0175922,1.30639,0.0238502,1.3736,1.51799,21.0139,15798,20001,,
2,2,1195,46.5295,5.02953,1000,93.219,121,1864.38,123,144,1117.83,5.51093,70.5289,232.302,6.93151,0.112916,31.073,0.149665,0.0162351,1.08146,0.0198209,1.1619,1.28968,16.9242,16616,20001,,
