Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
2,2,1143,44.5122,3.01221,1500,20.8734,121,417.467,123,144,332.33,3.37001,20.532,797.973,5.01819,0.148454,6.95779,0.0791647,0.0288363,0.848403,0.0349158,0.88842,0.939036,36.4927,3176,5001,,
2,3,1143,44.5122,2.91221,1500,20.7757,121,415.514,123,144,314.118,3.40095,19.1709,854.629,4.65911,0.166409,6.92524,0.0103365,0.0298323,1.06018,0.0458244,1.11235,1.12446,37.1326,3144,5001,,
2,2,1143,44.5122,3.01221,1600,18.7177,121,374.354,123,144,286.857,3.44805,18.1313,903.633,4.75975,0.13823,6.23923,0.0578164,0.0297966,0.896202,0.0378805,0.945462,0.967386,36.6527,3168,5001,,
2,3,1143,44.5122,2.91221,1600,18.1399,121,362.797,123,144,274.15,2.74664,16.6539,983.791,4.16432,0.157629,6.04662,0.0179102,0.0294451,1.06336,0.0477953,1.10223,1.15294,38.9122,3055,5001,,
2,2,1143,44.5122,3.01221,1700,16.0345,121,320.689,123,144,248.993,2.77777,15.562,1052.82,4.5084,0.155864,5.34482,0.0451104,0.0303247,0.919349,0.0395438,0.97055,0.977647,38.6923,3066,5001,,
2,3,1143,44.5122,2.91221,1700,16.1745,121,323.491,123,144,237.494,2.68151,14.9152,1098.48,4.3236,0.151804,5.39151,0.0356877,0.031214,1.11019,0.0452521,1.15007,1.19885,39.872,3007,5001,,
2,2,1143,44.5122,3.01221,1800,13.7254,121,274.507,123,144,210.282,2.97596,13.3146,1230.53,4.34608,0.150178,4.57512,0.0516277,0.0335419,0.918951,0.0412746,0.982416,0.998095,39.812,3010,5001,,
2,3,1143,44.5122,2.91221,1800,14.1445,121,282.889,123,144,200.463,2.63833,12.5443,1306.09,3.83891,0.15145,4.71482,0.0965772,0.0362142,1.04695,0.045754,1.097,1.17452,35.3929,3231,5001,,
2,2,1143,44.5122,3.01221,1900,12.1601,121,243.201,123,144,175.043,2.60935,10.8621,1508.36,3.98399,0.117102,4.05336,0.0866697,0.0324415,0.850486,0.0353917,0.903336,0.950854,34.5131,3275,5001,,
2,3,1143,44.5122,2.91221,1900,12.0018,121,240.035,123,144,168.686,2.25102,10.769,1521.4,3.63715,0.132509,4.00059,0.0301144,0.0307221,1.01205,0.0451713,1.06854,1.13398,36.4727,3177,5001,,
2,2,1143,44.5122,3.01221,2000,10.7873,121,215.746,123,144,156.894,2.0125,9.64966,1697.88,3.82227,0.12935,3.59577,0.0520695,0.0305693,0.914912,0.040565,0.967115,0.982752,35.4729,3227,5001,,
2,3,1143,44.5122,2.91221,2000,10.789,121,215.78,123,144,145.223,2.72687,9.32475,1757.04,3.41313,0.13206,3.59634,0.037978,0.0352207,1.04442,0.0485365,1.10194,1.1512,36.1528,3193,5001,,
2,2,1143,44.5122,3.01221,2100,9.85856,121,197.171,123,144,136.313,2.23547,8.65031,1894.04,3.48725,0.109765,3.28619,0.0735315,0.0305891,0.821221,0.0368718,0.867017,0.917467,34.3931,3281,5001,,
2,3,1143,44.5122,2.91221,2100,9.89398,121,197.88,123,144,129.916,1.97542,8.28937,1976.51,3.3131,0.122449,3.29799,0.0427545,0.0333417,1.03498,0.0490367,1.0738,1.12125,33.5133,3325,5001,,
2,2,1143,44.5122,3.01221,2200,9.18095,121,183.619,123,144,116.726,1.8027,7.69224,2129.94,3.0475,0.106396,3.06032,0.0528399,0.030837,0.873471,0.0410085,0.913802,0.934401,29.1942,3541,5001,,
2,3,1143,44.5122,2.91221,2200,8.81907,121,176.381,123,144,111.089,2.68326,6.81398,2404.47,3.33075,0.140693,2.93969,0.0310025,0.0417031,1.08773,0.0547714,1.13333,1.12909,33.7133,3315,5001,,
2,2,1143,44.5122,3.01221,2300,7.93298,121,158.66,123,144,93.4063,3.40642,6.24798,2622.29,2.85222,0.11608,2.64433,0.0867443,0.0478953,0.876447,0.0555838,0.920816,0.981359,30.4739,3477,5001,,
2,3,1143,44.5122,2.91221,2300,7.96283,121,159.257,123,144,92.3041,2.23206,5.88148,2785.69,2.63452,0.150116,2.65428,0.0460986,0.0549366,1.09206,0.0676798,1.14942,1.16261,32.5135,3375,5001,,
2,2,1143,44.5122,3.01221,2400,7.43959,121,148.792,123,144,86.2929,2.94737,5.68473,2882.11,2.6159,0.116925,2.47986,0.0454077,0.0459468,0.836489,0.0588326,0.891758,0.907431,27.6945,3616,5001,,
2,3,1143,44.5122,2.91221,2400,7.64209,121,152.842,123,144,81.2444,1.91756,5.31201,3084.33,2.56179,0.136944,2.54736,0.0556876,0.0483246,1.10232,0.065129,1.14906,1.1735,29.994,3501,5001,,
2,3,1143,44.5122,2.91221,2600,7.10236,121,142.047,123,144,65.6556,1.69291,4.68624,3496.2,2.13109,0.124178,2.36745,0.0163195,0.0526008,0.966151,0.0546825,1.04029,0.997374,23.3353,3834,5001,,
