Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty,ThresholdFitCalibrated
31503,10441,1400,HPK,7.6,148.2,3.42,50,237,259,289652.8080133735,1743.8209577829107,289198.3151615022,2314.104938867597,0.5593457578197273,0.00743415150737764,0.1890019125502755,0.0038282611309135434,0.9396349634687408,0.004925421158770815,1.1913300817154688,1.0245438702753034,0.5806430268048165,0.4466688268206713
31505,10441,1800,HPK,7.6,148.2,3.42,50,237,255,287215.9395883095,1735.22994355916,286788.4281701308,2302.797370030774,0.524432695501946,0.008585145801061012,0.18745445097403923,0.005704737463692072,0.9631535351795583,0.0019955515840735516,1.4695229138867796,0.9796819425911865,0.5156368068756831,0.4466688268206713
31508,10441,2200,HPK,7.6,148.2,3.42,50,238,252,287300.11862714577,1735.516815353902,281769.58548250905,2282.6016584038393,,,,,,,,,,0.4466688268206713
31510,10441,2800,HPK,7.6,148.2,3.42,50,238,250,296534.816193667,1774.830466609561,286102.3292289484,2315.2712289924557,,,,,,,,,,0.4466688268206713
31512,10441,3400,HPK,7.6,148.2,3.42,50,239,249,303154.34997528425,1783.6312247158996,292151.21616643114,2325.4080010251814,,,,,,,,,,0.4466688268206713
31515,10441,4000,HPK,7.6,148.2,3.42,50,239,249,305545.97770680086,1791.326924768084,299335.88924690644,2354.713707756697,,,,,,,,,,0.4466688268206713
31538,10441,1400,HPK,7.6,148.2,3.42,100,232,273,142810.69194791157,1240.332419321632,139613.98140162404,1628.712158054947,0.6404682701797302,0.008718537634182788,0.23457952474324215,0.004573307401872936,0.9658629213740472,0.005334915819950381,,1.1343599762580512,0.6522058000881693,0.6092296434056452
31540,10441,1800,HPK,7.6,148.2,3.42,100,234,258,144934.246615862,1233.8516524032561,145138.53708654598,1639.8002856201028,0.6673900096709507,0.008418751609638175,0.2167384323097903,0.005521525506061997,0.9772017431418659,0.0016904349496421611,,1.1420677678447952,0.5882800854769594,0.6092296434056452
31542,10441,2200,HPK,7.6,148.2,3.42,100,236,253,143263.28446322528,1225.7267324461502,143479.71359251745,1629.0844766692244,,,,,,,1.3305139742147636,,,0.6092296434056452
31545,10441,2800,HPK,7.6,148.2,3.42,100,237,251,151722.06113926705,1261.9864989942641,151205.48186245165,1673.1553203458839,,,,,,,,,,0.6092296434056452
31547,10441,3400,HPK,7.6,148.2,3.42,100,238,250,153437.79535910295,1268.600942858877,147016.2091891735,1649.1631184822584,,,,,,,,,,0.6092296434056452
31550,10441,4000,HPK,7.6,148.2,3.42,100,238,249,156448.99859206396,1281.4221573057448,149818.5220640679,1665.37000501675,,,,,,,0.0,,,0.6092296434056452
31588,10441,1400,HPK,7.6,148.2,3.42,150,231,271,87494.87732451898,958.3625280742522,87094.07938003236,1269.8574648722213,,,,,,,,1.4066427425316226,0.8670474525655592,0.7717904599906193
31591,10441,1800,HPK,7.6,148.2,3.42,150,230,257,85119.64634880048,945.0158063332876,90046.0645021463,1290.858635050835,0.9258238720800837,0.008702554684986319,0.2955143883005573,0.006112430354540038,0.9889633237321506,0.0013697941241442302,,1.2800410323203608,0.7862551431113264,0.7717904599906193
31593,10441,2200,HPK,7.6,148.2,3.42,150,234,255,84047.76220957286,942.4550882752619,88221.81211516427,1282.353383126015,,,,,,,1.1387948976013462,1.4234936220016827,0.9282065355725724,0.7717904599906193
31595,10441,2800,HPK,7.6,148.2,3.42,150,236,251,87118.92374644511,956.4272835385809,93302.62705232445,1314.5127124044388,,,,,,,,,,0.7717904599906193
31598,10441,3400,HPK,7.6,148.2,3.42,150,237,250,92055.02131875567,982.594737255491,96471.71401248038,1335.8965809078436,,,,,,,,,,0.7717904599906193
31600,10441,4000,HPK,7.6,148.2,3.42,150,237,250,91151.36211187135,978.201360177814,92985.31520799827,1312.127426729836,,,,,,,,,,0.7717904599906193
31616,10441,1400,HPK,7.6,148.2,3.42,200,228,264,59200.93365921034,1116.9987482869876,62301.01590802169,1521.8018978211833,,,,,,,,1.3909967984770875,1.004488554424762,0.9343512765755932
31620,10441,1800,HPK,7.6,148.2,3.42,200,229,258,55491.51128477412,767.4653261918073,61798.90721709393,1075.6179308282997,1.104996257302341,0.00890935740849852,0.31963644811100456,0.006002319548753909,0.9951978571512983,0.0010030919761430113,1.274373092027474,1.362260891477645,1.0380672962296904,0.9343512765755932
31623,10441,2200,HPK,7.6,148.2,3.42,200,233,255,52311.809316098865,750.6123221258866,62916.747465549284,1093.254061012996,,,,,,,1.2659859825214341,1.4066510916904824,1.1171042470659933,0.9343512765755932
31625,10441,2800,HPK,7.6,148.2,3.42,200,236,251,52034.83676649437,742.8244114453913,63965.90400356235,1093.7938796535343,,,,,,,,,,0.9343512765755932
31628,10441,3400,HPK,7.6,148.2,3.42,200,237,250,52777.398089362556,748.860452196477,63907.59763506655,1094.3980302108966,,,,,,,,,,0.9343512765755932
31630,10441,4000,HPK,7.6,148.2,3.42,200,236,250,52886.93346190935,754.4506030583535,68565.4408917304,1140.8575009162348,,,,,,,,,,0.9343512765755932
31647,10441,1400,HPK,7.6,148.2,3.42,250,227,273,47592.588606300655,707.2714345440766,50091.32861631956,963.6512268977033,,,,,,,1.5707773370433564,,,1.0969120931605674
