Run,Threshold,PE,MeanTrgPos,ErrMeanTrgPos,SigmaTrg,ErrSigmaTrg,MeanTrgPos2,ErrMeanTrgPos2,SigmaTrg2,ErrSigmaTrg2,FitOK,IntegralTrg
31503,50,0,245.45212197451133,0.7116796685290439,4.999999884677442,3.3265101586685946,245.69936557929142,1.9306761167320303,2.3566138085463932,1.9025772218377597,True,460.9399276895893
31503,50,1,243.38114234573737,0.05990042875320967,3.6395385175034685,0.05072025809775571,243.32098851548088,0.04345473751799034,3.8757211624172996,0.02867424219938952,True,4976.537359098873
31503,50,2,243.6080092021006,0.02923875568717449,2.106430098463671,0.027383886449508177,243.59210746612575,0.029360363584757465,2.2572089538859705,0.03007626692861054,True,6349.279666082816
31503,50,3,243.76497799133614,0.018454727838090434,1.4618862233451497,0.017443611871023945,243.815607659679,0.01932072195637602,1.453514386093805,0.018850166227215248,True,7051.2250447750275
31503,50,4,243.76566952796983,0.014260723146676924,1.1498042072041348,0.012772754311992984,243.78694374016706,0.014439903809275734,1.163449455818402,0.013330731578018784,True,7430.749236242281
31503,50,5,243.71798241915187,0.0122948094143851,0.9546962609093184,0.010371070375586156,243.7346145266898,0.012756149500475544,0.9118638299824666,0.011066818104525977,True,7228.6406874964
31503,50,6,243.7173691464204,0.011103466590412836,0.8520487428088914,0.009329363862818019,243.7234710798088,0.01108830211362033,0.8736053840614751,0.00976100903518623,True,6945.054012130225
31503,50,7,243.67869059430393,0.010403962658088517,0.767048769098256,0.008152830099807384,243.68245031873906,0.010342530886617851,0.7826069943150084,0.008398548742199863,True,6425.696583821065
31503,50,8,243.64791910296933,0.010375380499212383,0.7093003748494555,0.007538005797486591,243.65066449149802,0.010225616066520615,0.7235581404902643,0.0076022433132723055,True,5691.176988051168
31503,50,9,243.64011764628248,0.011513928096860582,0.68757882780042,0.007911019683707055,243.64428867675673,0.011269234585000731,0.7018313018484401,0.00786210146836036,True,4920.102549353095
31503,50,10,243.63221432882926,0.01221637111169116,0.6595582373484232,0.008123882240321678,243.63719522091236,0.011856513432448423,0.6736815433211375,0.007920704380340648,True,4425.136016402595
31503,50,11,243.6006521741835,0.01323157204554093,0.6230678977868893,0.008937445511318143,243.60822515778992,0.012631868487687825,0.6392724033854491,0.008363568271017918,True,3912.5458530045585
31503,50,12,243.56205983275328,0.013666108682826916,0.597670932308543,0.009905481682905004,243.57181696934228,0.013092279584768107,0.6153426691076427,0.009029018339834993,True,3645.949508331389
31503,50,13,243.5364766449609,0.01444840877118736,0.572097084618462,0.011420790263574176,243.55077074156713,0.014070366097058695,0.5949436395498773,0.010056671505046966,True,3358.2865753376263
31503,50,14,243.47239282467348,0.01081542704726246,0.5169397369319954,0.011929008519864615,243.48348764498215,0.01285980630727579,0.5435296293873527,0.01146285148881021,True,3241.385195763763
31503,50,15,243.4458741322658,0.008402319390540924,0.47786560918832877,0.0064068936775541485,243.44613631285523,0.009377656516150523,0.4978227235481828,0.010362631719316034,True,2954.1126756818576
31503,50,16,243.42997062790994,0.008581149020045586,0.4813555815599392,0.011785231555590747,243.4301504598268,0.009507504365416253,0.5046493659099,0.01024905184376465,True,2908.438379287369
31503,50,17,243.41502705991928,0.008366895329658064,0.46260926610604525,0.012273524078612597,243.41154115463274,0.00880585638738296,0.48485354138252146,0.01006603985155946,True,2733.5734246151815
31503,50,18,243.37513629712055,0.00907138004349406,0.46480463926359883,0.011069298843802478,243.36954994677475,0.009017390237161749,0.481826402516881,0.009520741488167811,True,2579.6397973578223
31503,50,19,243.37302221298307,0.009566978979421492,0.43693072621975954,0.01251829417364378,243.36406141010264,0.008878880497064756,0.45658067336115826,0.009647817338494541,True,2490.701260853227
31503,50,20,243.35779763832053,0.01038710069337867,0.44269732103092047,0.012361294981852983,243.34900222235703,0.00970273262748833,0.4603387016175157,0.009934827817845798,True,2171.2929141467043
31503,50,21,243.3700651124497,0.010352586448661327,0.4516566501365371,0.01278029923290877,243.36299162283518,0.009988318980632016,0.4689868295964103,0.010574940341752798,True,2025.0463643443866
31503,50,22,243.36491726495677,0.011462835011315065,0.4414193314146943,0.014127645616732826,243.3565669102951,0.010743682628699958,0.45908509938442404,0.011310218220166035,True,1737.51272203367
31503,50,23,243.34527741934502,0.012151627392924524,0.4598590638254055,0.01300661695884145,243.33939023027742,0.011773198504712923,0.47236799028572374,0.011507694168485294,True,1535.2114718681637
31503,50,24,243.37593883094797,0.013812994846745141,0.4360145344970588,0.018486253064770808,243.3670353035808,0.012840859207756239,0.4558178742271151,0.014154635548987354,True,1178.737459381613
31503,50,25,243.35840609072127,0.015319370410622923,0.4286293464710768,0.0186550897324384,243.34866645262562,0.013791076613728137,0.4462847440226748,0.014351826372910464,True,1070.8447084925374
31503,50,26,243.38151137010982,0.01554776390773327,0.45532720886811195,0.019959270655673184,243.3754599872969,0.015280580223773654,0.4730550672082573,0.016624693703611526,True,859.5480554120661
31503,50,27,243.3396673326548,0.01858470448966898,0.45241709194349977,0.01966625110494838,243.33250483143914,0.017675507068915408,0.4661937753941369,0.01694869259681686,True,683.6970347290196
31503,50,28,244.00003454507606,1.8788697470745603,0.4068266791552733,0.026768603704666993,243.35967663549522,0.020303504362658487,0.4117141821934615,0.023339365613869567,True,178.5869668245675
31503,50,29,244.2495987579368,0.23663461388589724,0.3297097522316716,0.15732814254203548,243.33534339310987,0.024138716623170353,0.4134635650312432,0.024481104348388544,True,117.73594735032175
