vgain,channel,led,bias,mean_0,e_mean_0,std_0,e_std_0,gain,e_gain,snr,e_snr,delta_std,e_delta_std,spe_amplitude,e_spe_amplitude,dynamic range
500,14,1200,810,59.55750171419865,15.793148916196845,300.69121343825583,13.749000261435071,1204.1109920308572,24.17951322264512,4.0044768128155175,0.19998271069332205,7364030.803641293,3477956.5336903115,85.42778137914274,0,191.78772684362568
600,14,1200,810,27.893193210405062,13.981413611890709,265.75228818937444,11.493447668269226,1044.6318636050314,21.315053073560144,3.9308480492202924,0.18797471815997385,4955002.45169282,2638066.714147036,71.39916370206501,0,229.47047486952766
700,14,1200,810,30.19112903808455,10.03435046142888,215.1022931603555,8.073310767907827,885.0700907572145,15.543714903973273,4.114647397540333,0.17050293154089394,4064709.8554603923,1528501.0432033974,50.47453017515818,0,324.59935621280215
800,14,1200,810,26.026046892317996,10.136874506270233,198.2716538293658,8.323371994856458,797.5256388971387,15.400180541074869,4.022388594102795,0.18586587136657398,2579410.5377652384,1402772.4742251723,48.90272864638379,0,335.03242975403066
900,14,1200,810,20.885054558082015,8.115059249279565,168.42491284507418,6.867005209092852,681.3102665015853,12.369886751038608,4.045186991596007,0.1805436259495636,2190598.222668846,977644.755867486,47.33666008375853,0,346.1165188040261
1000,14,1200,810,30.60696163088987,7.220226978272643,150.87371555673735,5.29578815430213,572.9284706363629,10.921841221413287,3.7974041304822794,0.1516810412451075,1387526.3925243672,730770.0007213996,32.88112966251265,0,498.2797175207513
1100,14,1200,810,-1.013490935510713,5.922251217394727,110.9347139884873,5.183648099235057,496.61341240325663,9.406620204694699,4.476627689821193,0.22571242558938143,2339177.253854802,561582.7246811963,27.4997318471294,0,595.7876277150051
1200,14,1200,810,4.506710059543345,5.585373612978633,110.44038148453718,4.732992429506311,448.70987910192554,8.961244687924278,4.062914968876213,0.1920968974918987,1508232.3536720574,469012.1624608238,20.567083870264902,0,796.6126896427625
1300,14,1200,810,13.934807030384826,4.944529080176205,102.0571490302621,4.438585904144155,385.7650085884607,7.628023090436901,3.7798920727647727,0.18058567250671295,873459.8237581486,380737.39009796764,19.178247199497974,0,854.3012210432287
1400,14,1200,810,18.805579484155885,4.49938434792997,88.71679430191845,2.8802728173000887,309.2987166332961,6.804793754450344,3.486360379306533,0.13672880862204084,391581.33860651636,253704.4061112587,14.943478971006513,0,1096.3979694278955
1500,14,1200,810,14.37122085007679,3.8456895746653736,81.05121096857705,2.7502205372680564,276.9542372829168,5.77811082972787,3.4170277528646658,0.13610926705270646,311145.2072693214,206707.23445933626,13.828108900770022,0,1184.8330178458207
1600,14,1200,810,1.254812625967031,3.367731533266249,65.74797906512826,2.489954133979122,242.4392278516024,5.201794679439819,3.6874019749177127,0.16050114115999625,538373.8219240275,175546.32531402187,10.93994883877161,0,1497.6304040778014
1700,14,1200,810,10.602893913105817,3.3000302259448318,64.79094318730012,2.5696239224708393,209.10533262752193,4.936939909541496,3.2273852230092146,0.14896254610048762,182328.37241131486,146789.77085200953,10.330943173275354,0,1585.9152185042526
1800,14,1200,810,4.608303943476808,4.431807869493243,59.26414093556205,3.2306364791470443,179.37558869609157,6.836603149213249,3.026713723752898,0.20132173271814213,146158.56388346374,174483.6538974721,8.913509027328677,0,1838.108869331586
