Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty,ThresholdFitCalibrated
31505,10903,1800,FBK,7.6,194.9,3.7,50,234,255,266647.3491049623,1671.9427387066237,267743.75352244976,2242.752971019859,0.5636200222687506,0.006949679300871092,0.17199979987868824,0.003459536570631777,0.9447858627380693,0.003918473511974108,,0.9136445063402574,0.5770909048050714,0.47454037424742895
31508,10903,2200,FBK,7.6,194.9,3.7,50,234,253,266300.9164081203,1670.887667973068,267133.8393326821,2240.239130858705,0.5028461613109504,0.007659336226553015,0.1626290041990495,0.00458202425807154,0.9561979030220471,0.002220413733014237,1.3898995822033078,0.9265997214688717,0.49288631916682907,0.47454037424742895
31510,10903,2800,FBK,7.6,194.9,3.7,50,234,251,265951.84159859025,1680.8173815754553,263667.85959034495,2240.3539076296006,,,,,,,0.7496931759876864,,,0.47454037424742895
31512,10903,3400,FBK,7.6,194.9,3.7,50,235,249,266508.85737926885,1672.3569836705808,263427.1099744246,2225.729596135624,,,,,,,0.884837645679097,,,0.47454037424742895
31515,10903,4000,FBK,7.6,194.9,3.7,50,235,249,267119.0603895126,1674.9004814316768,269271.30382414936,2251.130164755447,,,,,,,,,,0.47454037424742895
31540,10903,1800,FBK,7.6,194.9,3.7,100,229,257,138673.8602567481,1206.9095977089464,142773.78308173022,1639.34618603343,0.6895456106332452,0.007456130389135007,0.15987754513038258,0.0035707209645865212,0.9460677893352352,0.004583219837991481,,1.0975735542036273,0.6825845192616887,0.6123904199318134
31542,10903,2200,FBK,7.6,194.9,3.7,100,232,255,134433.20719816154,1187.351994302038,138596.5571675562,1613.8807071072001,0.6899900610698694,0.0075843614702897355,0.1841343114806494,0.004735676939927755,0.9632575395492902,0.002280367300727726,,1.201408487869246,0.6467496871970106,0.6123904199318134
31545,10903,2800,FBK,7.6,194.9,3.7,100,232,252,135598.8367093574,1193.0491170811013,141341.55976073135,1630.5506138045473,,,,,,,1.2227123066774355,1.2227123066774355,0.5923393646515464,0.6123904199318134
31547,10903,3400,FBK,7.6,194.9,3.7,100,233,251,136855.31163070444,1198.0906637737392,142658.4467333283,1637.4822580726639,,,,,,,,,,0.6123904199318134
31550,10903,4000,FBK,7.6,194.9,3.7,100,233,251,135510.06445875068,1192.5912299088682,144936.80409268735,1651.0650276372817,,,,,,,,,,0.6123904199318134
