endpoint, channel, Gain,    SpeAmpl
106,      32,10791.9528066958,22.4641961226802
106,      33,5764.34386339865,11.5078691644961
106,      30,6286.65003008506,13.5948666184642
106,      31,9952.03459191145,19.5790200308876
106,      34,6720.75921927706,13.2451072289157
106,      35,8779.6,16.14
106,      36,7257.11739430764,14.5646535017589
106,      37,6241.88002842937,15.3364108031272
106,      0,10574.4269832881,21.0613623406494
106,      2,11723.9,18.18
106,      1,6030.36688307159,12.2532722513089
106,      3,5983.47761505999,12.9634946700406
106,      5,12193.2673945214,23.7974835752483
106,      7,8554.07857673145,20.8643837305851
106,      4,4357.20257463079,10.4692681834102
106,      6,3789.60576810304,8.99584194543162
107,      47,6000,11
107,      45,6000,11
107,      40,6000,11
107,      42,6000,11
107,      46,6992.8701479366,11.9326823844962
107,      44,6550.86700603266,11.988708356498
107,      43,5787.59421903754,11.3981927257573
107,      41,18140.5,11
107,      7,7579.62601610942,11.3974335620794
107,      0,8495.51820877702,12.0394517451642
107,      27,5212.8416202395,11.2163526093491
107,      20,4497.80872830334,11.0223406697932
107,      37,5307.10800415079,11.3521700720823
107,      30,5619.18504785649,10.6377213021355
107,      17,7619.58081636791,10.0371222152051
107,      10,7739.3165228535,9.896586091769
