endpoint, channel, Gain,    SpeAmpl
106,      32,12822.4,  23.96
106,      33,9348.8, 13.07
106,      30,9644.8, 17.61
106,      31,12643.2, 21.06
106,      34,5859.2, 11.74
106,      35,8793.0,    16.14
106,      36,8080, 15.8
106,      37,9475.2, 16.53
106,      0,10972.8, 21.16
106,      2,13669.1,  18.18
106,      1,9062.4, 13.99
106,      3,6387.2,  14.12
106,      5,16513.6, 21.82
106,      7,16153.6,  22.8
106,      4,7972.8, 13.65
106,      6,6625.6, 12.98
107,      47,15000,    10
107,      45,15000,    10
107,      40,15000,    10
107,      42,15000,    10
107,      46,16978.2, 16
107,      44,16736.6, 16
107,      43,14125.1, 16
107,      41,14567.9, 16
107,      7,12595.5, 11.94
107,      0,11472.6, 11.5
107,      27,6371.1, 10.09
107,      20,6120.8,  9.73
107,      37,6728.4, 10.77
107,      30,6644.6,  10.32
107,      17,11200.2, 9.79
107,      10,11267.0, 9.55
