Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
5,21,0,47.65,5.05,1800,12.9062,135,258.124,138,158,198.516,0.788813,11.9622,1369.65,4.50129,0.0658153,4.30206,0.180002,0.012326,1.05721,0.0183274,1.09412,1.31162,28.7686,14247,20001,,
5,20,0,47.65,4.95,1900,11.5459,135,230.919,138,158,193.849,0.746181,11.5824,1414.56,4.35704,0.0674525,3.84864,0.168684,0.0125475,1.18185,0.0194759,1.2155,1.41462,23.5938,15282,20001,,
5,21,0,47.65,5.05,1900,11.5459,135,230.919,138,158,173.893,0.730451,10.3309,1585.93,4.17461,0.0620012,3.84864,0.167121,0.0126057,1.05392,0.0187044,1.09042,1.28265,28.8236,14236,20001,,
5,20,0,47.65,4.95,2000,10.4313,135,208.626,138,158,167.262,0.798158,9.74237,1681.73,4.23369,0.0652937,3.4771,0.17281,0.0127848,1.18539,0.0197103,1.22396,1.45676,23.2538,15350,20001,,
5,21,0,47.65,5.05,2000,10.4313,135,208.626,138,158,150.958,0.861382,8.85078,1851.14,3.96731,0.0633859,3.4771,0.16225,0.0137049,1.06101,0.0201489,1.09299,1.28718,29.4385,14113,20001,,
5,20,0,47.65,4.95,2100,10.2389,135,204.779,138,158,146.958,0.717658,8.61543,1901.7,3.68091,0.058586,3.41298,0.180692,0.0131721,1.18537,0.0206457,1.22034,1.47114,20.744,15852,20001,,
5,21,0,47.65,5.05,2100,10.2389,135,204.779,138,158,130.513,0.709534,7.54937,2170.25,3.6378,0.0540669,3.41298,0.174584,0.0128053,1.04439,0.0188541,1.07709,1.28589,24.4588,15109,20001,,
5,20,0,47.65,4.95,2200,8.47776,135,169.555,138,158,126.196,0.741114,7.2514,2259.43,3.43106,0.0601149,2.82592,0.154738,0.014165,1.1954,0.022313,1.22917,1.43911,23.4688,15307,20001,,
5,21,0,47.65,5.05,2200,8.47776,135,169.555,138,158,113.264,0.863127,6.51701,2514.04,3.3125,0.0604654,2.82592,0.163236,0.0155439,1.03897,0.0233986,1.06627,1.25814,35.4232,12916,20001,,
5,20,0,47.65,4.95,2300,7.65447,135,153.089,138,158,105.628,0.819224,6.14681,2665.45,2.99548,0.0561685,2.55149,0.197335,0.0162286,1.13686,0.0236047,1.1652,1.41349,28.0336,14394,20001,,
5,21,0,47.65,5.05,2300,7.65447,135,153.089,138,158,90.6552,0.835368,5.44675,3008.03,2.75139,0.0550556,2.55149,0.201875,0.0166403,1.01092,0.0237644,1.03731,1.29583,30.1635,13968,20001,,
5,20,0,47.65,4.95,2400,7.57221,135,151.444,138,158,92.4368,1.43816,5.2906,3096.82,2.78199,0.0642026,2.52407,0.198261,0.0239268,1.1823,0.0319282,1.21238,1.46881,21.3339,15734,20001,,
5,21,0,47.65,5.05,2400,7.57221,135,151.444,138,158,79.0781,1.05865,4.67024,3508.17,2.5479,0.0582177,2.52407,0.209648,0.0214861,1.05906,0.0283268,1.08483,1.32637,24.1888,15163,20001,,
5,20,0,47.65,4.95,2500,7.11226,135,142.245,138,158,83.1638,1.47111,4.69038,3493.11,2.5662,0.0703325,2.37075,0.151798,0.0270889,1.2112,0.0390189,1.23771,1.42244,21.5639,15688,20001,,
5,21,0,47.65,5.05,2600,7.11226,135,142.245,138,158,59.8064,4.57269,3.66249,4473.47,2.05711,0.0989033,2.37075,0.172055,0.0912865,1.0417,0.124862,1.06265,1.24072,17.3791,16525,20001,,
5,21,0,47.65,5.05,2700,7.11226,135,142.245,138,158,61.7001,1.33401,4.33954,3775.52,2.1007,0.0525064,2.37075,0.117265,0.0206722,0.780669,0.0245797,0.812627,0.893416,13.3393,17333,20001,,
