vgain,channel,led,bias,mean_0,e_mean_0,std_0,e_std_0,gain,e_gain,snr,e_snr,delta_std,e_delta_std,spe_amplitude,e_spe_amplitude,dynamic range
1500,3,755,1195,15.973630754332373,4.195746374561086,117.55709863761122,4.519238606087114,672.1842192485593,7.46388362665812,5.717938151235562,0.22880010461191286,3505807.334250112,498086.90449471667,41.261350106537165,0.4563118751892987,397.07862097813984
1600,3,755,1195,10.50628756011862,4.215864220111965,111.62857728284284,4.839271567963031,591.1108793867515,7.673703378802251,5.295336496934862,0.23963282747458156,3046123.908487915,510385.0983536733,37.474403361871175,0.43234272296264975,437.20509281463615
1700,3,755,1195,13.751495341923144,3.631510760533908,100.52427238068489,3.8434952499975097,523.4187626913077,6.212938170004926,5.206889344188672,0.20845590975583997,1797165.552493386,337067.5498773154,32.69467820994106,0.3838114600150314,501.1213107770647
1800,3,755,1195,12.930197191206823,3.2784857833109124,83.36109112758956,3.0789554231627676,434.13129367304595,5.885533141802897,5.2078408259865485,0.20490053703380515,1513030.1618809227,246136.77086280397,26.906318266107576,0.44066009199546824,608.9276071872692
1900,3,755,1195,15.805488020430102,2.992619972632015,65.48646966034296,3.072009290683674,368.18517053465877,5.251347387421722,5.622309042529176,0.27566698520358274,936131.3173415088,187650.26513276825,23.239357817664086,0.4633689674423968,705.0108754531344
2000,3,755,1195,6.578761037417153,2.4276905341446384,63.62552129290626,2.200819223921041,322.3525063516775,4.2102325212852305,5.066402597594391,0.18732472941068595,730796.1738449809,134946.48758368567,20.751145564591045,0.14550382611837262,789.5467722011948
2100,3,755,1195,11.43187011220688,2.615024769256799,65.00618338315654,2.574090892810702,282.7784497465413,4.579876921218135,4.350023875110483,0.18610185630830664,578045.401605272,155077.16317584494,18.473121526645006,0.3510744548734274,886.9102049898969
2200,3,755,1195,6.556469253475175,2.4971143982753796,51.794149881353896,1.927532389326906,241.1197152443593,4.072979040352326,4.655346516869145,0.19026148842845736,284529.5604322505,94036.2836646631,16.031754536231105,0.22736755922108973,1021.9717350944237
2300,3,755,1195,13.92467935271493,0.015499322558782808,48.08602031343866,0.01549775465524661,199.81657448691146,0.026845528605250076,4.155398454362597,0.0014509571330385683,251220.76194239792,594.1314059914864,14.695541222270965,0.23943320439423185,1114.895991388884
2400,3,755,1195,10.249717764547874,3.0259029771493684,48.86132100402221,2.3946943214078296,175.89405246095046,4.951299165090033,3.5998628126830843,0.20345966869432972,226014.53397801414,124243.5794966384,12.94817497876171,0.34033529772458393,1265.352069065634
2500,3,755,1195,10.27834107438748,3.652280836396441,47.75268602770575,2.553939247515739,153.78150667335134,5.763923583727927,3.2203739614590154,0.2103186779500981,126634.26150006382,124678.97484602724,11.668616710808903,0.5404109870110918,1404.1081651797792
2600,3,755,1195,-71.73229873862546,0.1113508674053281,0.025464643205618694,0.05200809928111363,45.65713982369818,1.872839416365603,1792.9620868838279,3662.6217372384426,196993.8068735057,30551.31257924894,7.452215524079819,0.5213477769457466,2198.5408160914744
