Run,LED,Threshold,ThresholdDecimal
35195,1180,190,400
35196,1180,1c2,450
35197,1180,1f4,500
35198,1180,226,550
35199,1180,258,600
35200,1180,28a,650
35201,1180,2bc,700
35202,1180,2ee,750
35203,1180,320,800
35204,1180,352,850
35205,1180,384,900
35206,1180,3b6,950
35207,1180,3e8,1000
35208,1180,41a,1050
35209,1180,44c,1100
35210,1180,47e,1150
35211,1180,4b0,1200
35212,1180,4e2,1250
35213,1180,514,1300
35214,1180,546,1350
35215,1180,578,1400
35216,1180,5aa,1450
35217,1180,5dc,1500
35218,1180,60e,1550
35219,1180,640,1600
35220,1180,672,1650
35221,1180,6a4,1700
35222,1180,6d6,1750
35223,1180,708,1800
35224,1180,73a,1850
35225,1180,76c,1900
35226,1180,79e,1950
35227,1180,7d0,2000
