Run,APA,Mask,LED,LedTicks,PDE,Threshold,Side
32272,12,50,4000,20,45,15e,1
32273,34,1,1400,1,45,15e,1
32274,34,1,1500,1,45,15e,1
32275,34,1,1600,1,45,15e,1
32276,34,1,1800,1,45,15e,1
32277,34,12,2000,1,45,15e,1
32278,34,12,2200,1,45,15e,1
32279,12,50,1400,20,45,190,1
32280,12,50,1800,20,45,190,1
32281,12,50,2200,20,45,190,1
32282,12,50,2800,20,45,190,1
32283,12,50,3400,20,45,190,1
32284,12,50,4000,20,45,190,1
32285,34,1,1400,1,45,190,1
32286,34,1,1500,1,45,190,1
32287,34,1,1600,1,45,190,1
32288,34,1,1800,1,45,190,1
32289,34,12,2000,1,45,190,1
32290,34,12,2200,1,45,190,1
32291,12,50,1400,20,45,1c2,1
32292,12,50,1800,20,45,1c2,1
32293,12,50,2200,20,45,1c2,1
32294,12,50,2800,20,45,1c2,1
32295,12,50,3400,20,45,1c2,1
32296,12,50,4000,20,45,1c2,1
32297,34,1,1400,1,45,1c2,1
32298,34,1,1500,1,45,1c2,1
32299,34,1,1600,1,45,1c2,1
32300,34,1,1800,1,45,1c2,1
32301,34,12,2000,1,45,1c2,1
32302,34,12,2200,1,45,1c2,1
32303,12,50,1400,20,45,1f4,1
32304,12,50,1800,20,45,1f4,1
32305,12,50,2200,20,45,1f4,1
32306,12,50,2800,20,45,1f4,1
32307,12,50,3400,20,45,1f4,1
32308,12,50,4000,20,45,1f4,1
32309,34,1,1400,1,45,1f4,1
32310,34,1,1500,1,45,1f4,1
32311,34,1,1600,1,45,1f4,1
32312,34,1,1800,1,45,1f4,1
32313,34,12,2000,1,45,1f4,1
32314,34,12,2200,1,45,1f4,1
32315,12,50,1400,20,45,226,1
32316,12,50,1800,20,45,226,1
32317,12,50,2200,20,45,226,1
32318,12,50,2800,20,45,226,1
32319,12,50,3400,20,45,226,1
32320,12,50,4000,20,45,226,1
32321,34,1,1400,1,45,226,1
32322,34,1,1500,1,45,226,1
32323,34,1,1600,1,45,226,1
32324,34,1,1800,1,45,226,1
32325,34,12,2000,1,45,226,1
32326,34,12,2200,1,45,226,1
32327,12,50,1400,20,45,258,1
32328,12,50,1800,20,45,258,1
32329,12,50,2200,20,45,258,1
32330,12,50,2800,20,45,258,1
32331,12,50,3400,20,45,258,1
32332,12,50,4000,20,45,258,1
32333,34,1,1400,1,45,258,1
32334,34,1,1500,1,45,258,1
32335,34,1,1600,1,45,258,1
32336,34,1,1800,1,45,258,1
32337,34,12,2000,1,45,258,1
32338,34,12,2200,1,45,258,1
32339,12,50,1400,20,45,28a,1
32340,12,50,1800,20,45,28a,1
32341,12,50,2200,20,45,28a,1
32342,12,50,2800,20,45,28a,1
32343,12,50,3400,20,45,28a,1
32344,12,50,4000,20,45,28a,1
32345,34,1,1400,1,45,28a,1
32346,34,1,1500,1,45,28a,1
32347,34,1,1600,1,45,28a,1
32348,34,1,1800,1,45,28a,1
32349,34,12,2000,1,45,28a,1
32350,34,12,2200,1,45,28a,1
32351,12,50,1400,20,45,2bc,1
32352,12,50,1800,20,45,2bc,1
32353,12,50,2200,20,45,2bc,1
32354,12,50,2800,20,45,2bc,1
32355,12,50,3400,20,45,2bc,1
32356,12,50,4000,20,45,2bc,1
32357,34,1,1400,1,45,2bc,1
32358,34,1,1500,1,45,2bc,1
32359,34,1,1600,1,45,2bc,1
32360,34,1,1800,1,45,2bc,1
32361,34,12,2000,1,45,2bc,1
32362,34,12,2200,1,45,2bc,1
32363,12,50,1400,20,45,2ee,1
32364,12,50,1800,20,45,2ee,1
32365,12,50,2200,20,45,2ee,1
32366,12,50,2800,20,45,2ee,1
32367,12,50,3400,20,45,2ee,1
32368,12,50,4000,20,45,2ee,1
32369,34,1,1400,1,45,2ee,1
32370,34,1,1500,1,45,2ee,1
32371,34,1,1600,1,45,2ee,1
32372,34,1,1800,1,45,2ee,1
32373,34,12,2000,1,45,2ee,1
32374,34,12,2200,1,45,2ee,1
32375,12,50,1400,20,45,320,1
32376,12,50,1800,20,45,320,1
32377,12,50,2200,20,45,320,1
32378,12,50,2800,20,45,320,1
32379,12,50,3400,20,45,320,1
32380,12,50,4000,20,45,320,1
32381,34,1,1400,1,45,320,1
32382,34,1,1500,1,45,320,1
32383,34,1,1600,1,45,320,1
32384,34,1,1800,1,45,320,1
32385,34,12,2000,1,45,320,1
32386,34,12,2200,1,45,320,1
32387,12,50,1400,20,45,352,1
32388,12,50,1800,20,45,352,1
32389,12,50,2200,20,45,352,1
32390,12,50,2800,20,45,352,1
32391,12,50,3400,20,45,352,1
32392,12,50,4000,20,45,352,1
32393,34,1,1400,1,45,352,1
32394,34,1,1500,1,45,352,1
32395,34,1,1600,1,45,352,1
32396,34,1,1800,1,45,352,1
32397,34,12,2000,1,45,352,1
32398,34,12,2200,1,45,352,1
32399,12,50,1400,20,45,384,1
32400,12,50,1800,20,45,384,1
32401,12,50,2200,20,45,384,1
32402,12,50,2800,20,45,384,1
32403,12,50,3400,20,45,384,1
32404,12,50,4000,20,45,384,1
32405,34,1,1400,1,45,384,1
32406,34,1,1500,1,45,384,1
32407,34,1,1600,1,45,384,1
32408,34,1,1800,1,45,384,1
32409,34,12,2000,1,45,384,1
32410,34,12,2200,1,45,384,1
32415,12,50,1400,20,45,3b6,1
32416,12,50,1800,20,45,3b6,1
32417,12,50,2200,20,45,3b6,1
32418,12,50,2800,20,45,3b6,1
32419,12,50,3400,20,45,3b6,1
32420,12,50,4000,20,45,3b6,1
32421,34,1,1400,1,45,3b6,1
32423,34,1,1500,1,45,3b6,1
32424,34,1,1600,1,45,3b6,1
32425,34,1,1800,1,45,3b6,1
32426,34,12,2000,1,45,3b6,1
32427,34,12,2200,1,45,3b6,1
32428,12,50,1400,20,45,3e8,1
32429,12,50,1800,20,45,3e8,1
32431,12,50,2200,20,45,3e8,1
32432,12,50,2800,20,45,3e8,1
32433,12,50,3400,20,45,3e8,1
32434,12,50,4000,20,45,3e8,1
32435,34,1,1400,1,45,3e8,1
32436,34,1,1500,1,45,3e8,1
32438,34,1,1600,1,45,3e8,1
32439,34,1,1800,1,45,3e8,1
32440,34,12,2000,1,45,3e8,1
32442,34,12,2200,1,45,3e8,1
32444,12,50,1400,20,45,41a,1
32445,12,50,1800,20,45,41a,1
32446,12,50,2200,20,45,41a,1
32447,12,50,2800,20,45,41a,1
32448,12,50,3400,20,45,41a,1
32449,12,50,4000,20,45,41a,1
32450,34,1,1400,1,45,41a,1
32451,34,1,1500,1,45,41a,1
32452,34,1,1600,1,45,41a,1
32453,34,1,1800,1,45,41a,1
32454,34,12,2000,1,45,41a,1
32455,34,12,2200,1,45,41a,1
