Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
1,0,1195,46.5295,5.12953,500,94.5618,121,1891.24,123,144,2424.99,13.2261,148.547,110.295,8.1087,0.141975,31.5206,0.169556,0.0200705,1.01992,0.023327,1.08764,1.21743,41.2779,11745,20001,,
1,1,1195,46.5295,5.02953,500,91.8489,121,1836.98,123,144,2348.33,12.7462,142.71,114.806,7.65923,0.159434,30.6163,0.118652,0.019188,1.16269,0.0245994,1.23127,1.37095,41.2529,11750,20001,,
1,0,1195,46.5295,5.12953,600,81.685,121,1633.7,123,144,2125.23,10.8555,130.842,125.219,7.85012,0.145709,27.2283,0.164212,0.0180787,1.0446,0.0217497,1.10656,1.25404,42.4829,11504,20001,,
1,1,1195,46.5295,5.02953,600,79.3416,121,1586.83,123,144,2038.4,10.8292,125.645,130.399,7.58797,0.157642,26.4472,0.131926,0.0189068,1.12506,0.0242163,1.1914,1.32268,41.5279,11695,20001,,
1,0,1195,46.5295,5.12953,700,70.5617,121,1411.23,123,144,1840.99,9.73564,114.784,142.738,7.99009,0.143825,23.5206,0.149598,0.0152837,1.03194,0.0195756,1.09539,1.21784,43.4978,11301,20001,,
1,1,1195,46.5295,5.02953,700,68.5374,121,1370.75,123,144,1779.7,8.91025,109.37,149.804,8.06498,0.161516,22.8458,0.136785,0.0163801,1.15889,0.0226182,1.21733,1.35128,42.4779,11505,20001,,
1,0,1195,46.5295,5.12953,800,60.9531,121,1219.06,123,144,1620.3,8.72947,99.1478,165.248,8.03552,0.162765,20.3177,0.127692,0.0152954,1.05689,0.0209072,1.12591,1.24081,45.2277,10955,20001,,
1,1,1195,46.5295,5.02953,800,59.2044,121,1184.09,123,144,1557.02,8.71391,95.2713,171.972,7.91609,0.157261,19.7348,0.155952,0.0170354,1.13432,0.0221256,1.21166,1.36337,44.1328,11174,20001,,
1,0,1195,46.5295,5.12953,900,52.6529,121,1053.06,123,144,1374.56,7.50656,84.6285,193.599,8.14599,0.146948,17.551,0.140031,0.0181095,1.02788,0.0221341,1.1025,1.2351,43.8478,11231,20001,,
1,1,1195,46.5295,5.02953,900,51.1424,121,1022.85,123,144,1322.52,6.65676,81.4312,201.2,7.59645,0.151944,17.0475,0.110868,0.0185735,1.14861,0.0241575,1.2241,1.32695,42.0379,11593,20001,,
1,0,1195,46.5295,5.12953,1000,45.483,121,909.66,123,144,1152.27,6.66267,70.7032,231.729,7.80493,0.147264,15.161,0.137086,0.0184987,1.03696,0.0227516,1.10653,1.23042,40.953,11810,20001,,
1,1,1195,46.5295,5.02953,1000,44.1782,121,883.563,123,144,1111.75,5.71453,68.9134,237.748,7.68825,0.154318,14.7261,0.110051,0.0179741,1.14933,0.023889,1.21979,1.35577,38.0931,12382,20001,,
1,0,1195,46.5295,5.12953,1100,39.2894,121,785.788,123,144,995.639,5.40154,62.9282,260.36,7.64761,0.139394,13.0965,0.126215,0.0154684,1.02552,0.0198034,1.09159,1.24099,39.708,12059,20001,,
1,1,1195,46.5295,5.02953,1100,38.1623,121,763.246,123,144,954.876,5.63548,58.4542,280.288,7.66395,0.140799,12.7208,0.107772,0.0185318,1.14363,0.0230982,1.21729,1.33993,39.043,12192,20001,,
1,0,1195,46.5295,5.12953,1200,33.9393,121,678.785,123,144,882.509,4.968,55.2192,296.708,7.50922,0.151446,11.3131,0.11148,0.0181784,1.04936,0.0234138,1.12933,1.25404,44.3228,11136,20001,,
1,1,1195,46.5295,5.02953,1200,32.9656,121,659.312,123,144,850.77,5.0981,50.6995,323.159,7.4419,0.151766,10.9885,0.148849,0.0195055,1.13692,0.024639,1.19719,1.34285,43.2478,11351,20001,,
1,0,1195,46.5295,5.12953,1300,29.3176,121,586.353,123,144,769.948,4.0174,48.0683,340.848,7.65084,0.145591,9.77255,0.121157,0.0172356,1.04785,0.0220524,1.1113,1.23198,43.8978,11221,20001,,
1,1,1195,46.5295,5.02953,1300,28.4766,121,569.531,123,144,740.319,3.79895,44.9669,364.357,6.99545,0.157477,9.49219,0.132851,0.0186981,1.14036,0.0248548,1.20876,1.33257,43.1078,11379,20001,,
