vgain,channel,led,bias,mean_0,e_mean_0,std_0,e_std_0,gain,e_gain,snr,e_snr,delta_std,e_delta_std,spe_amplitude,e_spe_amplitude,dynamic range
500,14,1200,784,69.29742145542649,16.015492923678693,271.2190126087933,11.227628953626805,929.4833916072173,23.905696334708747,3.4270583860133192,0.1670207909542786,3179306.6206671745,2876953.4644551,127.11033564416765,1.555227185243805,128.8958912504592
600,14,1200,784,54.04123051088163,13.454947248451631,235.45038402213527,10.73065546074497,797.3600898723338,20.445274897870014,3.3865312778482113,0.17709174695376434,3432490.472494349,2307540.410169013,115.03938485343852,1.1035689289338941,142.42078937464245
700,14,1200,784,38.588482758049665,10.914209323027864,202.18517261116767,8.371012782109787,694.0984350004995,16.662627873344537,3.432983863437675,0.16429899536437448,2457677.9698336273,1577032.095277431,99.57490944760366,0.7203858136306016,164.53944162129784
800,14,1200,784,23.198711417113625,8.777951307566823,178.63337059927733,6.867554809836548,609.0964489847066,13.446825856520636,3.409757353518642,0.15116402744608723,1428067.0785236163,1088497.4248231533,89.2043346330802,0.5259467517681877,183.66820477268848
900,14,1200,784,28.94428190456196,9.286712185420207,157.96164383514807,6.745597763136189,521.1416719553732,14.19948696044088,3.299165919666214,0.16712241891543883,1315134.3982858332,1004919.8721935591,74.06837760453489,0.6049735706317798,221.20101087507658
1000,14,1200,784,9.066287941192622,7.763614712986018,135.21990651087222,5.7640013187344294,454.54089606628895,12.192335845197546,3.3614939382445295,0.16929870529943178,1181323.2888903692,727975.2352579123,63.11565141875869,0.4906394340414792,259.5869587290751
1100,14,1200,784,7.120203991859374,6.210150158084133,113.80644806150647,4.9273165079936945,387.6231627139965,9.68492237909647,3.4059859464597855,0.170257672765785,832301.2594746337,501507.12250221113,54.918324840163145,0.5475096795002049,298.3339358526459
1200,14,1200,784,6.796502908933712,0.030697829471458063,101.65784930332303,0.030694751138696574,352.09329692617433,0.05316964928218009,3.4635131407867092,0.0011692775654823032,1310676.6188191413,2523.844173586665,49.4868507402463,0.4928254243834196,331.07784704261536
1300,14,1200,784,15.966251854983904,6.31423247031037,92.6597892657095,4.478612820823926,293.22936043783466,9.516728627098484,3.1645804805035285,0.184239750605284,523039.86369441217,406726.63434503076,43.66262060273594,0.33307977211834844,375.24087592152824
1400,14,1200,784,15.589828016762912,5.2359692668823214,77.726798743069,3.5352733384459682,240.8931531134283,8.244536441179388,3.0992290562450195,0.1764132405999779,365457.35314649297,278213.5836047619,36.35091569094287,0.3240349139993622,450.71766937860684
1500,14,1200,784,8.618885570823718,6.031579355587891,73.4930605388481,3.6347158687124974,211.13075884605672,8.909023016615725,2.8727985648992527,0.18676540670581163,352255.16871270956,304698.48998939473,32.84064051579168,0.3605910984890707,498.8940453862837
1600,14,1200,784,8.397146411800698,9.5688130136076,69.79407908173985,7.409293932064568,187.3374880565731,13.897400950949685,2.684145854796242,0.34762578838321134,114562.82848756318,468038.3203257613,28.218379906286525,0.18123476371419958,580.6144808600422
1700,14,1200,784,17.339692135932214,6.697858423887671,66.59115593652896,3.4712253606259686,164.5049407953331,9.933668999457138,2.4703722060648743,0.19706765401858076,50109.53786908416,273482.04740054667,24.455223432344784,0.3098246113511302,669.959121221126
