SiPMChannel,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty,ThresholdFitCalibrated,LED
10441,HPK,7.6,148.2,3.42,50,238,252,294893.8449,718.8514175,289227.7087,945.4713575,,,,,,,1.466851183,,,0.274870539,999
10441,HPK,7.6,148.2,3.42,100,236,254,148795.3537,511.2517959,146072.8398,672.7396834,,,,,,,1.204843954,,,0.448576954,999
10441,HPK,7.6,148.2,3.42,150,234,254,87835.87424,392.1947923,91357.62885,531.2028749,,,,,,,1.203651922,,,0.62228337,999
10441,HPK,7.6,148.2,3.42,200,233,254,53664.13986,322.5413806,64045.99391,467.9629691,,,,,,,1.350119697,,,0.795989786,999
10441,HPK,7.6,148.2,3.42,250,232,255,41728.41232,271.3013945,52273.00524,403.2709875,,,,,,,1.343163329,1.477479662,1.133346494,0.969696201,999
10441,HPK,7.6,148.2,3.42,300,232,254,29946.96117,229.345682,40316.56065,353.4093822,,,,,,,1.741711562,1.741711562,1.286928049,1.143402617,999
10441,HPK,7.6,148.2,3.42,350,231,255,12735.5532,149.4375684,20470.97127,251.6183199,,,,,,,1.602341711,1.602341711,1.390120431,1.317109032,999
10441,HPK,7.6,148.2,3.42,400,230,255,9436.528281,129.0135587,14587.57137,213.0310351,,,,,,,1.338666169,1.204799552,1.530794547,1.490815448,999
10441,HPK,7.6,148.2,3.42,450,230,255,7781.129632,116.8938804,12361.3791,195.6708186,1.728585674,0.007233344,0.23112019,0.006358027,0.996020677,0.000505391,1.472211343,1.070699159,1.60788387,1.664521864,999
10441,HPK,7.6,148.2,3.42,500,229,255,6607.899483,107.4206718,10823.26657,182.5817966,1.775680997,0.005234932,0.180171867,0.004167392,0.99096921,0.000433173,1.206503919,0.938391937,1.72175155,1.838228279,999
10441,HPK,7.6,148.2,3.42,550,229,254,5656.381141,99.40317207,9332.658876,169.5726297,1.997933473,0.005878779,0.213360239,0.005378927,0.994747871,0.000407012,,0.800722278,1.945700125,2.011934695,999
10441,HPK,7.6,148.2,3.42,600,228,255,4781.265519,91.65973373,7428.936596,151.7373988,2.239440828,0.005530654,0.205481873,0.004226598,0.995936514,0.000306804,0.67239381,0.67239381,2.197397456,2.18564111,999
10441,HPK,7.6,148.2,3.42,650,226,254,4006.189644,87.71509779,6059.989027,143.273763,2.42984026,0.005533709,0.162509612,0.003519318,0.995825071,0.000286252,0.543929478,0.679911848,2.403597275,2.359347526,999
10441,HPK,7.6,148.2,3.42,700,229,256,3625.583674,79.6110875,5038.085459,124.6348525,2.55304559,0.004658523,0.137168114,0.00270818,0.995233937,0.000276385,0.402430971,0.670718286,2.539031545,2.533053942,999
10441,HPK,7.6,148.2,3.42,750,228,254,3330.757967,76.31248314,5214.780109,126.8131226,2.644834438,0.004495053,0.120954355,0.002587503,0.99399635,0.000303636,0.536885824,0.536885824,2.633517137,2.706760357,999
10441,HPK,7.6,148.2,3.42,800,227,252,3183.97595,74.79811995,4373.034428,116.4178004,2.811756951,0.004479578,0.138012532,0.002828512,0.994444805,0.000298792,0.672268573,0.672268573,2.801627842,2.880466773,999
10441,HPK,7.6,148.2,3.42,850,228,251,3007.752837,72.71385007,4260.133077,114.9290454,3.049021309,0.004438691,0.143761964,0.003144424,0.994969081,0.000287312,0.536275577,0.670344471,3.042327433,3.054173188,999
10441,HPK,7.6,148.2,3.42,900,229,254,2706.070036,69.06926628,3945.813661,110.7658185,3.292076941,0.004939081,0.14872087,0.003203325,0.995460482,0.000277469,0.539636493,0.539636493,3.280560558,3.227879604,999
10441,HPK,7.6,148.2,3.42,950,228,252,2614.185958,67.72411576,3397.792447,102.540558,3.457423197,0.004881068,0.131251845,0.002739299,0.995109447,0.000281289,0.537465712,0.537465712,3.468174959,3.40158602,999
10441,HPK,7.6,148.2,3.42,1000,230,253,2579.420606,67.27651673,3376.555388,102.2260318,3.574118135,0.004760467,0.118745129,0.002586932,0.995081969,0.000283283,0.538286965,0.538286965,3.600474228,3.575292435,999
10441,HPK,7.6,148.2,3.42,1050,227,252,2547.307214,66.84947754,3270.649414,100.5996571,3.701295504,0.0046124,0.119086079,0.00258776,0.995382976,0.000277337,0.535753375,0.535753375,3.717767642,3.748998851,999
10441,HPK,7.6,148.2,3.42,1100,232,251,2335.535844,64.25917243,3162.029896,99.29948457,3.899778169,0.004555501,0.128125669,0.002866323,0.994730442,0.000299472,0.539050534,0.539050534,3.896405285,3.922705266,999
10441,HPK,7.6,148.2,3.42,1150,226,252,2382.968253,64.66486444,2955.7395,95.64548411,4.133052791,0.004705282,0.143372756,0.003170967,0.995296352,0.000287998,0.539522641,0.539522641,4.128730046,4.096411682,999
